Minerali,per porzione,% RDA
Calcio,"52,2 mg","5,2 %"
Rame,"0,2 mg","15,7 %"
Ferro,"0,7 mg","4,6 %"
Magnesio,"43,8 mg","14,6 %"
Manganese,"0,0 mg","0,0 %"
Fosforo,"60,0 mg","8,6 %"
Potassio,"64,5 mg","3,2 %"
Selenio,"< 0,1 mg","6,7 %"
Zinco,"0,7 mg","10,5 %"
