,0,1,2,3
1,Proteine(%): 10,,,
2,Lisina:,771,7.71,
3,Istidina:,270,2.7,
4,Arginina:,579,5.79,
5,Acido aspartico:,1032,10.32,
6,Treonina:,499,4.99,
7,Serina:,505,5.05,
8,Acido glutamico:,1377,13.77,
9,Prolina:,610,6.1,
10,Glicina:,482,4.82,
11,Alanina:,623,6.23,
12,Cistina:,169,1.69,
13,Valina:,558,5.58,
14,Metionina:,232,2.32,
15,Isoleucina:,497,4.97,
16,Leucina:,858,8.58,
17,Tirosina:,421,4.21,
18,Fenilalanina:,511,5.11,
19,Triptofano:,134,1.34,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
