,0,1,2,3
1,Proteine(%): 19.9,,,
2,Lisina:,1750,8.71,
3,Istidina:,560,2.79,
4,Arginina:,1288,6.41,
5,Acido aspartico:,1969,9.8,
6,Treonina:,865,4.3,
7,Serina:,809,4.02,
8,Acido glutamico:,3137,15.61,
9,Prolina:,857,4.26,
10,Glicina:,1003,4.99,
11,Alanina:,1242,6.18,
12,Cistina:,225,1.12,
13,Valina:,1198,5.96,
14,Metionina:,544,2.71,
15,Isoleucina:,1015,5.05,
16,Leucina:,1668,8.3,
17,Tirosina:,676,3.36,
18,Fenilalanina:,839,4.17,
19,Triptofano:,193,0.96,
20,Indice Chimico:,87,,
21,Aminoacido limitante:,Trip.,,
