0,1
Grassi saturi totali,17.53
C4:0\÷C10:0 (laurico),2.63
C12:0 (laurico),0.81
C14:0 (miristico),2.74
C16:0 (palmitico),7.33
C18:0 (stearico),2.79
C20:0 (arachidico),0.00
C22:0 (beenico),0.00
Grassi monoinsaturi totali,7.29
C14:1 (miristoleico),0.00
C16:1 (palmitoleico),
C18:1 (oleico),6.19
C20:1 (eicosaenoico),0.22
C22:1 (erucico),0.00
Grassi polinsaturi totali,0.78
C18:2 W6 (linoleico),0.59
C18:3 W3 (linolenico),0.15
C20:4 W6 (arachidonico),0.00
C20:5 W3 (eicosapentaenoico - EPA),0.00
C22:6 W3 (docosaesaenoico - DHA),0.00
Rapporto Polinsaturi/Saturi,0.00
