Minerali,per porzione,% RDA
Calcio,"244,2 mg","24,4 %"
Rame,"1,3 mg","133,0 %"
Ferro,"7,4 mg","49,7 %"
Magnesio,"92,9 mg","31,0 %"
Manganese,"2,1 mg","103,1 %"
Fosforo,"263,2 mg","37,6 %"
Potassio,"481,6 mg","24,1 %"
Selenio,"< 0,1 mg","16,6 %"
Zinco,"2,5 mg","35,4 %"
