Minerali,per porzione,% RDA
Calcio,"78,0 mg","7,8 %"
Rame,"0,2 mg","15,6 %"
Ferro,"0,9 mg","6,2 %"
Magnesio,"99,0 mg","33,0 %"
Manganese,"< 0,1 mg","2,3 %"
Fosforo,"708,0 mg","101,1 %"
Potassio,"1.536,0 mg","76,8 %"
Selenio,"0,2 mg","515,0 %"
Zinco,"1,6 mg","22,7 %"
