,0,1
0,BABÀ AL RUM,
1,,
2,BARRETTA AL CIOCCOLATO,
3,,
4,CANDITI,
5,,
6,CANNOLI ALLA CREMA,
7,,
8,CARAMELLE DURE,
9,,
10,CARAMELLE MOU,
11,,
12,CIOCCOLATO FONDENTE,
13,,CIOCCOLATO AL LATTE
14,,CIOCCOLATO AL LATTE E NOCCIOLE
15,,
16,CREMA ALLE NOCCIOLE,
17,,
18,CROSTATA AL CACAO,
19,,CROSTATA ALLA MARMELLATA
20,,CROSTATA ALLA MARMELLATA CONFEZIONATA
21,,
22,BISCOTTO GELATO CREMA ZABAIONE CIOCCOLATO,
23,,GELATO AL CACAO
24,,GELATO AL CAFFE'
25,,GELATO FIOR DI LATTE
26,,"GELATO FIOR DI LATTE, RICOPERTO DI SORBETTO ALLA FRAGOLA"
27,,GELATO ALLA NOCCIOLA
28,,GELATO ALLA PANNA
29,,GELATO ALLA PANNA RICOPERTA DI CIOCCOLATO FONDENTE
30,,"Gelato, cono con panna, scaglie di cioccolato e noccioline"
31,,GELATO ALLA STRACCIATELLA
32,,GELATO ALLA VANIGLIA
33,,Gelato panna e cioccolato
34,,
35,GHIACCIOLO ALL'ARANCIO,
36,,
37,GHIACCIOLO ALL'ARANCIO,
38,,
39,GOMME DA MASTICARE,
40,,
41,GOMME DA MASTICARE,
42,,
43,"LENTI COLORATE, RIPIENE DI CIOCCOLATO",
44,,
45,"MARMELLATE, NORMALI E FRUTTAVIVA",
46,,
47,MERENDINE TIPO BRIOCHE,
48,,MERENDINE FARCITE AL LATTE
49,,MERENDINE CON MARMELLATA
50,,MERENDINE TIPO PAN DI SPAGNA
51,,MERENDINA TIPO PASTAFROLLA
52,,
53,MIELE,
54,,
55,PANETTONE,
56,,
57,PASTA DI MANDORLE,
58,,
59,SAVOIARDI,
60,,
61,SORBETTO AL LIMONE,
62,,
63,TORRONE ALLE MANDORLE,
64,,
65,TORTA MARGHERITA,
66,,
67,WAFERS AL CIOCCOLATO,
68,,
69,ZUCCHERO O SACCAROSIO,
70,,
