,0,1,2,3
1,Proteine(%): 4.7,,,
2,Lisina:,95,2.02,
3,Istidina:,100,2.13,
4,Arginina:,171,3.64,
5,Acido aspartico:,216,4.6,
6,Treonina:,135,2.87,
7,Serina:,238,5.06,
8,Acido glutamico:,1472,31.32,
9,Prolina:,488,10.38,
10,Glicina:,151,3.21,
11,Alanina:,151,3.21,
12,Cistina:,107,2.28,
13,Valina:,245,5.21,
14,Metionina:,78,1.66,
15,Isoleucina:,194,4.13,
16,Leucina:,366,7.79,
17,Tirosina:,128,2.72,
18,Fenilalanina:,240,5.11,
19,Triptofano:,48,1.02,
20,Indice Chimico:,35,,
21,Aminoacido limitante:,Lis.,,
