,0,1,2,3
1,Proteine(%): 21.5,,,
2,Lisina:,1944,9.04,
3,Istidina:,833,3.87,
4,Arginina:,1338,6.22,
5,Acido aspartico:,2101,9.77,
6,Treonina:,885,4.12,
7,Serina:,857,3.99,
8,Acido glutamico:,3581,16.66,
9,Prolina:,913,4.25,
10,Glicina:,1134,5.27,
11,Alanina:,1334,6.2,
12,Cistina:,226,1.05,
13,Valina:,1012,4.71,
14,Metionina:,623,2.9,
15,Isoleucina:,932,4.33,
16,Leucina:,1809,8.41,
17,Tirosina:,730,3.4,
18,Fenilalanina:,866,4.03,
19,Triptofano:,234,1.09,
20,Indice Chimico:,99,,
21,Aminoacido limitante:,Trip.,,
