,0,1,2,3,4,5
1,"Note Alimento: Nota INN: pronta da cuocere, lo scarto e' costituito dalle ossa del busto.",,,,,
2,"Categoria merceologica: 10050 - carne di volatili, pollo",,,,,
3,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
4,Contenuti in 100 g / unità,,,,,
5,COMPONENTI PRINCIPALI,,,,,
6,"Parte edibile, %",80,02,1080,,
7,"Energia, ricalcolata, kJ",667,86,,,
8,"Energia, Ric con fibra, kJ",667,86,,,
9,"Energia, ricalcolata, kcal",159,86,,,
10,"Energia, Ric con fibra, kcal",159,86,,,
11,"Proteine totali, g",21.4,02,1080,,
12,"Proteine animali, g",21.4,02,1080,,
13,"Proteine vegetali, g",0.0,02,1080,,
14,"Lipidi totali, g",8.2,02,1080,,
15,"Lipidi animali, g",8.2,02,1080,,
16,"Lipidi vegetali, g",0.0,02,1080,,
17,"Colesterolo, mg",110,T,369,2,"""Duck, raw, meat only"" acqua=74.8g, prot=19.7g, lip=6.5g"
18,"Carboidrati disponibili (MSE), g",0.0,AO,106010,,
19,"Amido (MSE), g",0.0,02,1080,,
20,"Carboidrati solubili (MSE), g",0.0,AO,106010,,
21,"Fibra alimentare totale, g",0.0,02,1080,,
22,"Alcol, g",0.0,02,1080,,
23,"Acqua, g",68.8,02,1080,,
24,MINERALI ed ELEMENTI IN TRACCIA,,,,,
25,"Ferro, mg",1.3,02,1080,,
26,"Calcio, mg",12,02,1080,,
27,"Sodio, mg",110,02,1080,,
28,"Potassio, mg",290,02,1080,,
29,"Fosforo, mg",200,02,1080,,
30,"Zinco, mg",1.90,T,369,2,AO/106010 = 1.9 mg
31,"Magnesio, mg",14,AA,106010,2,
32,"Rame, mg",0.30,AA,106010,,
33,"Selenio, µg",22.0,AA,106010,,
34,"Cloro, mg",98,T,369,2,
35,"Iodio, µg",15,Y,6452,2,"""Chicken, without skin"" acqua 72, prot 21, lip 6,3"
36,"Manganese, mg",tr,T,369,2,
37,"Zolfo, mg",180,Y,6452,2,
38,VITAMINE IDROSOLUBILI,,,,,
39,"Vitamina B1, Tiamina, mg",0.19,02,1080,,
40,"Vitamina B2, Riboflavina, mg",0.18,02,1080,,
41,"Vitamina C, mg",0,02,1080,,
42,"Niacina, mg",7.70,02,1080,,
43,"Vitamina B6, mg",0.34,T,369,2,
44,"Folati totali, µg",25,T,369,2,
45,"Acido pantotenico, mg",1.60,T,369,2,
46,"Biotina, µg",6.0,T,369,2,
47,"Vitamina B12, µg",3.0,T,369,2,
48,VITAMINE LIPOSOLUBILI,,,,,
49,Retinolo equivalente,,,,,
50,"Retinolo eq. (RE), µg",80,02,1080,,
51,"Retinolo, µg",80,02,1080,3A,"T/369 Retinolo 24, Carotene tr"
52,"ß-carotene eq., µg",tr,02,1080,3A,
53,"Vitamina E (ATE), mg",0.02,T,369,2,
54,"Vitamina D, µg",0.40,I,5301,2,"""Duck, meat"" acqua=74g, lip=6g, prot=18.3g"
55,ACIDI GRASSI,,,,,
56,"Acidi grassi saturi totali, g",2.54,AE,275,3A,"Duckling, raw, meat only lip 6.5AcGrSaturiTot2.01, SommaAcButirrico,caproico,caprilico,caprico0.01, AcLaurico0, AcMiristico0.04, AcPalmitico1.37, AcStearico0.52, AcArachidico0.02, AcBeenico0.02, AcGrMonoinsaturiTot3.11, AcMiristoleico0, AcPalmitoleico0.18, AcOleico2.61, AcEicosenoico0.06, AcErucico-2, AcGrPolinstauriTot0.96, AcLinoleico0.87, AcLinolenico0.09, AcArachidonico0, AcEicosapentaenoico(EPA)0, AcDecosaesaenoico(DHA)0, AltriAcGrPolinsaturi0"
57,"Somma degli acidi butirrico, caproico, caprilico e caprico, g",0.01,AE,275,3A,
58,"Acido laurico, g",0.00,AE,275,3A,
59,"Acido miristico, g",0.05,AE,275,3A,
60,"Acido palmitico, g",1.73,AE,275,3A,
61,"Acido stearico, g",0.66,AE,275,3A,
62,"Acido arachidico, g",0.03,AE,275,3A,
63,"Acido beenico, g",0.03,AE,275,3A,
64,"Acidi grassi monoinsaturi totali, g",3.92,AE,275,3A,
65,"Acido miristoleico, g",0.00,AE,275,3A,
66,"Acido palmitoleico, g",0.23,AE,275,3A,
67,"Acido oleico, g",3.29,AE,275,3A,
68,"Acidi eicosenoico, g",0.08,AE,275,3A,
69,"Acido erucico, g",tr,AE,275,3A,
70,"Acidi grassi polinsaturi totali, g",1.21,AE,275,3A,
71,"Acido linoleico, g",1.10,AE,275,3A,
72,"Acido linolenico, g",0.11,AE,275,3A,
73,"Acido arachidonico, g",0.00,AE,275,3A,
74,"Acido eicosapentaenoico (EPA), g",0.00,AE,275,3A,
75,"Acido decosaesaenoico (DHA), g",0.00,AE,275,3A,
76,"Altri acidi grassi polinsaturi, g",0.00,86,,,
77,AMINOACIDI,,,,,
78,"Triptofano, mg",268,15,05139,3A,"""Duck domesticated, meat and skin, raw"" prot. orig.11.49,trypto144, threon471, isoleu537, leucine900, lysine912, methion291, cystine180, phenilal459, tyrosine395, valine573, arginine770, histidine283, alanine777, aspart ac1102, glutam ac1709, glycine928, proline686, serine488"
79,"Treonina, mg",877,15,05139,,
80,"Isoleucina, mg",1000,15,05139,,
