,0,1
0,Composizione chimica,valore per 100g
1,Lipidi totali,3.80
2,Saturi totali,0.88
3,C12 0,0g
4,C14 0,0.04
5,C14 1,0g
6,C15 0,ND
7,C16 0,0.65
8,C16 1,0.13
9,C17 0,ND
10,C17 1,ND
11,C18 0,0.17
12,C18 1,0.62
13,C18 2,0.11
14,C18 3,0.01
15,C20 0,0g
16,C20 1,0.09
17,C20 2,ND
18,C20 3,ND
19,C20 4,0.19
20,C20 5,0.29
21,C22 0,0g
22,C22 1,0.04
23,C22 6,0.38
24,C4 0 c10 0,0g
25,Monoinsaturi totali,0.93
26,Nitrati,ND
27,Nitriti,ND
28,Polinsaturi totali,1.21
