Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","16,9 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","12,4 %"
Vitamina B3,"9,6 mg","60,3 %"
Vitamina B5,"1,8 mg","29,4 %"
Vitamina B6,"0,0 mg","0,0 %"
Vitamina C,"30,9 mg","38,6 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
