Valori nutrizionali,per porzione,% RDA
Valore calorico,629 kcal 2.633 kJ,"31,5 %"
Grassi,"61,2 g","94,1 %"
Grassi saturi,"4,7 g","21,2 %"
Grassi monoinsaturi,"48,2 g","166,2 %"
Grassi polinsaturi,"5,6 g","37,1 %"
Carboidrati,"17,0 g","6,3 %"
Zuccheri,"3,5 g","7,0 %"
Proteine,"13,7 g","18,8 %"
Fibre alimentari,"11,0 g","3,7 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"0,0 g","0,0 %"
Acqua,"5,8 g","0,3 %"
