Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,5 mg","42,4 %"
Vitamina B11,"0,2 mg","46,3 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,1 mg","8,9 %"
Vitamina B3,"22,0 mg","137,2 %"
Vitamina B5,"2,0 mg","34,1 %"
Vitamina B6,"0,4 mg","26,9 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
