Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (50 cl)
Grassi,0 g,0 g
- Acidi Grassi saturi,0 g,0 g
Carboidrati,0 g,0 g
- Zuccheri,0 g,0 g
Fibra alimentare,0 g,0 g
Proteine,0 g,0 g
Sale,2 g,10 g
Sodio,"0,787 g","3,94 g"
Alcol,0 % vol,0 % vol
Bicarbonato,150 mg,750 mg
Potassio,"0,5 mg","2,5 mg"
Cloruro,"2,3 mg","11,5 mg"
Calcio,"36,3 mg",181 mg
Magnesio,"12,7 mg","63,5 mg"
Nutrition score - France,8,8
Nutri-Score,C,C
solfati,"18,9 mg","94,5 mg"
nitrati,"4,4 mg",22 mg
