Minerali,per porzione,% RDA
Calcio,"31,2 mg","3,1 %"
Rame,"1,7 mg","169,1 %"
Ferro,"0,8 mg","5,4 %"
Magnesio,"30,4 mg","10,1 %"
Manganese,"< 0,1 mg","2,8 %"
Fosforo,"200,8 mg","28,7 %"
Potassio,"223,2 mg","11,2 %"
Selenio,"< 0,1 mg","138,1 %"
Zinco,"1,4 mg","19,9 %"
