Vitamine,per porzione,% RDA
Vitamina A,"19,1 mg","2.391,7 %"
Vitamina B1,"0,9 mg","83,0 %"
Vitamina B11,"0,6 mg","144,3 %"
Vitamina B12,"< 0,1 mg","2.647,9 %"
Vitamina B2,"7,8 mg","555,3 %"
Vitamina B3,"29,9 mg","186,6 %"
Vitamina B5,"16,9 mg","281,7 %"
Vitamina B6,"2,0 mg","144,1 %"
Vitamina C,"83,5 mg","104,4 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
