,0,1,2,3
1,Proteine(%): 23.4,,,
2,Lisina:,1637,7,
3,Istidina:,656,2.8,
4,Arginina:,1520,6.5,
5,Acido aspartico:,2846,12.16,
6,Treonina:,918,3.92,
7,Serina:,1357,5.8,
8,Acido glutamico:,3719,15.89,
9,Prolina:,955,4.08,
10,Glicina:,939,4.01,
11,Alanina:,983,4.2,
12,Cistina:,222,0.95,
13,Valina:,1378,5.89,
14,Metionina:,248,1.06,
15,Isoleucina:,1244,5.32,
16,Leucina:,1982,8.47,
17,Tirosina:,724,3.09,
18,Fenilalanina:,1373,5.87,
19,Triptofano:,224,0.96,
20,Indice Chimico:,80,,
21,Aminoacido limitante:,Solf.,,
