,0,1,2,3
1,Proteine(%): 25.2,,,
2,Lisina:,2441,9.7,
3,Istidina:,882,3.5,
4,Arginina:,1477,5.87,
5,Acido aspartico:,2348,9.33,
6,Treonina:,1072,4.26,
7,Serina:,1095,4.35,
8,Acido glutamico:,3285,13.05,
9,Prolina:,919,3.65,
10,Glicina:,1128,4.48,
11,Alanina:,1440,5.72,
12,Cistina:,264,1.05,
13,Valina:,1392,5.53,
14,Metionina:,881,3.5,
15,Isoleucina:,1198,4.76,
16,Leucina:,2029,8.06,
17,Tirosina:,934,3.71,
18,Fenilalanina:,1007,4,
19,Triptofano:,280,1.1,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
