Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,5 mg","41,5 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,4 mg","28,3 %"
Vitamina B3,"12,6 mg","78,8 %"
Vitamina B5,"2,3 mg","38,6 %"
Vitamina B6,"0,0 mg","0,0 %"
Vitamina C,"10,3 mg","12,9 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
