,0,1,2,3
1,Proteine(%): 14.3,,,
2,Lisina:,389,2.72,
3,Istidina:,345,2.41,
4,Arginina:,2003,14.01,
5,Acido aspartico:,1409,9.85,
6,Treonina:,448,3.13,
7,Serina:,734,5.13,
8,Acido glutamico:,2800,19.58,
9,Prolina:,645,4.51,
10,Glicina:,698,4.88,
11,Alanina:,618,4.32,
12,Cistina:,217,1.52,
13,Valina:,745,5.21,
14,Metionina:,275,1.92,
15,Isoleucina:,623,4.36,
16,Leucina:,1011,7.07,
17,Tirosina:,453,3.17,
18,Fenilalanina:,642,4.49,
19,Triptofano:,104,0.73,
20,Indice Chimico:,47,,
21,Aminoacido limitante:,Lis.,,
