Valori nutrizionali,per porzione,% RDA
Valore calorico,13 kcal 56 kJ,"0,7 %"
Grassi,"0,2 g","0,3 %"
Grassi saturi,"< 0,1 g","< 0,1 %"
Grassi monoinsaturi,"< 0,1 g","0,1 %"
Grassi polinsaturi,"< 0,1 g","0,2 %"
Carboidrati,"3,0 g","1,1 %"
Zuccheri,"1,8 g","3,6 %"
Proteine,"0,4 g","0,5 %"
Fibre alimentari,"1,2 g","0,4 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"15,4 g","0,8 %"
