Valori nutrizionali,per porzione,% RDA
Valore calorico,98 kcal 412 kJ,"4,9 %"
Grassi,"7,5 g","11,5 %"
Grassi saturi,"2,1 g","9,4 %"
Grassi monoinsaturi,"2,7 g","9,2 %"
Grassi polinsaturi,"1,1 g","7,5 %"
Carboidrati,"0,9 g","0,4 %"
Zuccheri,"0,1 g","0,3 %"
Proteine,"7,7 g","10,5 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"217,8 mg","725,9 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"34,1 g","1,7 %"
