Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,1 mg","9,3 %"
Vitamina B11,"< 0,1 mg","7,7 %"
Vitamina B12,"< 0,1 mg","244,8 %"
Vitamina B2,"0,9 mg","60,7 %"
Vitamina B3,"21,4 mg","133,7 %"
Vitamina B5,"0,6 mg","9,6 %"
Vitamina B6,"1,6 mg","111,7 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
