,0,1,2,3
1,Proteine(%): 19.1,,,
2,Lisina:,1390,7.28,
3,Istidina:,490,2.57,
4,Arginina:,530,2.77,
5,Acido aspartico:,1390,7.28,
6,Treonina:,710,3.72,
7,Serina:,930,4.87,
8,Acido glutamico:,3160,16.54,
9,Prolina:,1800,9.42,
10,Glicina:,360,1.88,
11,Alanina:,600,3.14,
12,Cistina:,140,0.73,
13,Valina:,1060,5.55,
14,Metionina:,600,3.14,
15,Isoleucina:,900,4.71,
16,Leucina:,1530,8.01,
17,Tirosina:,1030,5.39,
18,Fenilalanina:,920,4.82,
19,Triptofano:,210,1.1,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
