Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,4 mg","34,9 %"
Vitamina B11,"0,1 mg","25,6 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","13,6 %"
Vitamina B3,"2,4 mg","14,8 %"
Vitamina B5,"0,2 mg","2,6 %"
Vitamina B6,"< 0,1 mg","4,9 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"< 0,1 mg","0,7 %"
Vitamina K,"0,0 mg","0,0 %"
