Informazioni nutrizionali,Come vendutoper 100 g / 100 ml
Grassi,"4,5 g"
- Acidi Grassi saturi,"3,1 g"
Carboidrati,"13,2 g"
- Zuccheri,"13,2 g"
Fibra alimentare,0 g
Proteine,"3,4 g"
Sale,"0,1 g"
Sodio,"0,039 g"
Nutrition score - France,4
Nutri-Score,C
