,0,1,2,3
1,Proteine(%): 8,,,
2,Lisina:,543,6.79,
3,Istidina:,220,2.75,
4,Arginina:,517,6.46,
5,Acido aspartico:,970,12.13,
6,Treonina:,313,3.91,
7,Serina:,467,5.84,
8,Acido glutamico:,1274,15.93,
9,Prolina:,322,4.03,
10,Glicina:,318,3.98,
11,Alanina:,334,4.18,
12,Cistina:,76,0.95,
13,Valina:,476,5.95,
14,Metionina:,82,1.03,
15,Isoleucina:,419,5.24,
16,Leucina:,682,8.53,
17,Tirosina:,285,3.56,
18,Fenilalanina:,470,5.88,
19,Triptofano:,73,0.91,
20,Indice Chimico:,79,,
21,Aminoacido limitante:,Solf.,,
