Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,1 mg","101,6 %"
Vitamina B11,"0,3 mg","86,8 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,4 mg","27,1 %"
Vitamina B3,"4,5 mg","27,9 %"
Vitamina B5,"0,7 mg","11,3 %"
Vitamina B6,"1,2 mg","83,2 %"
Vitamina C,"13,4 mg","16,8 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
