Informazioni nutrizionali,Come vendutoper 100 g / 100 ml
Grassi,"8,7 g"
- Acidi Grassi saturi,"1,2 g"
Carboidrati,"26,9 g"
- Zuccheri,"2,6 g"
Fibra alimentare,"3,5 g"
Proteine,"10,4 g"
Sale,1 g
Sodio,"0,394 g"
Nutrition score - France,-2
Nutri-Score,A
