Minerali,per porzione,% RDA
Calcio,"7,7 mg","0,8 %"
Rame,"0,1 mg","11,2 %"
Ferro,"0,8 mg","5,6 %"
Magnesio,"10,2 mg","3,4 %"
Manganese,"< 0,1 mg","2,7 %"
Fosforo,"23,0 mg","3,3 %"
Potassio,"267,8 mg","13,4 %"
Selenio,"< 0,1 mg","2,6 %"
Zinco,"0,1 mg","1,8 %"
