Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (50 g),Breadsticks,Pani,Cereali e patate,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"6,9 g","3,45 g","-29%9,75 g","-14%8,05 g","+11%6,21 g","-36%10,7 g","-28%9,61 g"
- Acidi Grassi saturi,1 g,"0,5 g","-62%2,63 g","-55%2,2 g","-40%1,68 g","-57%2,35 g","-53%2,11 g"
Carboidrati,75 g,"37,5 g","+8%69,3 g","+28%58,6 g","+25%59,9 g","+58%47,6 g","+71%43,9 g"
- Zuccheri,"2,1 g","1,05 g","-15%2,47 g","-35%3,25 g","-68%6,57 g","-75%8,57 g","-76%8,8 g"
Fibra alimentare,"3,8 g","1,9 g","-8%4,11 g","-18%4,64 g","-19%4,71 g","-13%4,35 g","-6%4,03 g"
Proteine,"12,3 g","6,15 g","+10%11,2 g","+36%9,02 g","+30%9,47 g","+59%7,75 g","+76%6,98 g"
Sale,"0,013 g","0,006 g","-99%2,12 g","-99%1,74 g","-98%0,732 g","-98%0,594 g","-98%0,534 g"
Sodio,"0,005 g","0,002 g","-99%0,835 g","-99%0,685 g","-98%0,288 g","-98%0,234 g","-98%0,21 g"
Nutrition score - France,-4,-4,"-135%11,3","-151%7,89","-230%3,08","-229%3,1","-203%3,88"
Nutri-Score,A,A,D,C,C,C,C
