Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (300 g),Meals,Frozen foods
Grassi,"9,2 g","27,6 g","+6%8,64 g","-11%10,3 g"
- Acidi Grassi saturi,"5,5 g","16,5 g","+47%3,74 g","0%5,48 g"
Carboidrati,14 g,42 g,"-44%25,1 g","-51%28,4 g"
- Zuccheri,"1,8 g","5,4 g","-49%3,53 g","-83%10,4 g"
Proteine,"6,9 g","20,7 g","-18%8,41 g","-10%7,65 g"
Sale,"0,79 g","2,37 g","-29%1,11 g","-3%0,814 g"
Sodio,"0,311 g","0,933 g","-29%0,437 g","-3%0,32 g"
Nutrition score - France,6,6,"-7%6,45","-37%9,54"
Nutri-Score,C,C,C,C
