,0,1,2,3,4,5
1,"Categoria merceologica: 4003 - frutta secca e in guscio, semi edibili",,,,,
2,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
3,Contenuti in 100 g / unità,,,,,
4,COMPONENTI PRINCIPALI,,,,,
5,"Parte edibile, %",88,AA,008525,,
6,"Energia, ricalcolata, kJ",508,86,,,
7,"Energia, Ric con fibra, kJ",551,86,,,
8,"Energia, ricalcolata, kcal",120,86,,,
9,"Energia, Ric con fibra, kcal",130,86,,,
10,"Proteine totali, g",25,AA,008525,,
11,"Proteine animali, g",00,LZ,,,
12,"Proteine vegetali, g",25,AA,008525,,
13,"Lipidi totali, g",13,AA,008525,,
14,"Lipidi animali, g",00,LZ,,,
15,"Lipidi vegetali, g",13,AA,008525,,
16,"Colesterolo, mg",0,LZ,,,
17,"Carboidrati disponibili (MSE), g",261,AA,008525,,
18,"Amido (MSE), g",186,86,,4B,in tabella espresso come polisaccaride 16.9g
19,"Carboidrati solubili (MSE), g",75,AA,008525,,
20,"Fibra alimentare totale, g",54,AA,008525,,
21,"Alcol, g",00,LZ,,,
22,"Acqua, g",633,AA,008525,,
23,MINERALI ed ELEMENTI IN TRACCIA,,,,,
24,"Ferro, mg",17,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
25,"Calcio, mg",46,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
26,"Sodio, mg",27,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
27,"Potassio, mg",715,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
28,"Fosforo, mg",99,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
29,"Zinco, mg",025,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
30,"Magnesio, mg",54,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
31,"Rame, mg",047,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
32,"Selenio, µg",tr,L,813,2,"""Chestnuts, raw"" acqua 51.7, prot 2, lip 2.7"
33,"Cloro, mg",15,L,813,2,"""Chestnuts"" WATER 51.7g, PROT 2g, FAT 2.7g, CHO 36.6g, SUGAR 7g, STARCH 29.6g"
34,"Iodio, µg",0,DM,,2,"""Chestnut, boiled"" WATER 68.2g, PROT 2g, FAT 1.38g, CHO 23.3g, SUGAR 0.5g, STARCH 22.8g"
35,"Manganese, mg",085,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
36,"Zolfo, mg",29,L,813,2,"""Chestnuts"" WATER 51.7g, PROT 2g, FAT 2.7g, CHO 36.6g, SUGAR 7g, STARCH 29.6g"
37,VITAMINE IDROSOLUBILI,,,,,
38,"Vitamina B1, Tiamina, mg",015,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
39,"Vitamina B2, Riboflavina, mg",010,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
40,"Vitamina C, mg",27,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
41,"Niacina, mg",070,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
42,"Vitamina B6, mg",023,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
43,"Folati totali, µg",38,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
44,"Acido pantotenico, mg",032,DI,12101,2,"""Nuts, chestnuts, european, boiled and steamed"" WATER 68.15g, PROT 2g, FAT 1.38g, CHO 27.76g"
45,"Biotina, µg",14,L,813,2,"""Chestnuts"" WATER 51.7g, PROT 2g, FAT 2.7g, CHO 36.6g, SUGAR 7g, STARCH 29.6g"
46,"Vitamina B12, µg",00,LZ,,,
