,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,100%,-
2,Acqua,"82,70g",-
3,Carboidrati disponibili,"5,20g",-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,"5,20g",-
6,Proteine,"5,30g",-
7,Grassi (Lipidi),"6,90g",-
8,Saturi totali,"4,82g",-
9,Monoinsaturi totali,"1,45g",-
10,Polinsaturi totali,"0,26g",-
11,Colesterolo,11mg,-
12,Fibra totale,0,-
13,Fibra solubile,0,-
14,Fibra insolubile,0,-
15,Alcol (g),0,-
16,Sodio,30mg,2% RDA
17,Potassio,182mg,3.87% RDA
18,Ferro,"0,10mg",1.25% RDA
19,Calcio,180mg,18% RDA
20,Fosforo,96mg,13.71% RDA
21,Magnesio,ND,-
22,Zinco,ND,-
23,Rame,ND,-
24,Selenio,ND,-
25,Tiamina (Vit. B1),"0,06mg",5% RDA
26,Riboflavina (Vit. B2),"0,25mg",19.23% RDA
27,Niacina (Vit. B3 o PP),"0,50mg",3.13% RDA
28,Vitamina A retinolo eq.,53µg,5.89% RDA
29,Vitamina C,ND,-
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
