Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,1 mg","11,3 %"
Vitamina B11,"0,1 mg","28,9 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"< 0,1 mg","0,9 %"
Vitamina B3,"2,9 mg","17,9 %"
Vitamina B5,"< 0,1 mg","1,5 %"
Vitamina B6,"< 0,1 mg","5,9 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"< 0,1 mg","0,1 %"
Vitamina K,"0,0 mg","0,0 %"
