Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,9 mg","85,0 %"
Vitamina B11,"< 0,1 mg","21,7 %"
Vitamina B12,"< 0,1 mg","142,8 %"
Vitamina B2,"0,8 mg","54,6 %"
Vitamina B3,"10,2 mg","63,8 %"
Vitamina B5,"0,0 mg","0,0 %"
Vitamina B6,"1,3 mg","91,1 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"2,9 mg","24,4 %"
Vitamina K,"0,0 mg","0,0 %"
