,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Activia,100g,1 vasetto (113 g),74 kcal,311 kJ,Yogurt
1,Activia al limone,100g,1 vasetto (113 g),100 kcal,420 kJ,Yogurt
2,Activia alla fragola,100g,1 vasetto (113 g),97 kcal,407 kJ,Yogurt
3,Ayran,100g,1 bicchiere (200 g),42 kcal,176 kJ,Yogurt
4,Yogurt alla ciliegia,100g,1 vasetto (227 g),97 kcal,407 kJ,Yogurt
5,Yogurt al cioccolato,100g,1 vasetto (227 g),128 kcal,538 kJ,Yogurt
6,Yogurt alla frutta,100g,1 vasetto (227 g),97 kcal,407 kJ,Yogurt
7,Yogurt magro,100g,1 vasetto (227 g),63 kcal,265 kJ,Yogurt
8,Yogurt al caffè,100g,1 vasetto (227 g),100 kcal,420 kJ,Yogurt
9,Yogurt biologico,100g,1 vasetto (227 g),75 kcal,315 kJ,Yogurt
10,Yogurt alla pesca,100g,1 vasetto (113 g),97 kcal,407 kJ,Yogurt
11,Yogurt probiotico,100g,1 vasetto (113 g),80 kcal,336 kJ,Yogurt
12,Yogurt di latte scremato,100g,1 vasetto (227 g),56 kcal,235 kJ,Yogurt
13,Yogurt alla stracciatella,100g,1 vasetto (227 g),139 kcal,584 kJ,Yogurt
14,Yogurt alla fragola,100g,1 vasetto (227 g),100 kcal,420 kJ,Yogurt
15,Yogurt alla vaniglia,100g,1 vasetto (227 g),101 kcal,424 kJ,Yogurt
16,Yogurt,100g,1 vasetto (227 g),61 kcal,256 kJ,Yogurt
17,Yogurt al mirtillo,100g,1 vasetto (227 g),105 kcal,441 kJ,Yogurt
18,Yogurt greco,100g,1 vasetto (150 g),53 kcal,223 kJ,Yogurt
19,Yogurt alla panna,100g,1 vasetto (227 g),90 kcal,378 kJ,Yogurt
20,Yogurt dietetico,100g,1 vasetto (227 g),54 kcal,227 kJ,Yogurt
21,Yogurt bircher muesli,100g,1 vasetto (227 g),109 kcal,458 kJ,Yogurt
