,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Cannelloni,100g,1 porzione (200 g),146 kcal,613 kJ,Pasta e tagliolini
1,Capellini,100g,1 porzione (200 g),353 kcal,1483 kJ,Pasta e tagliolini
2,Cappelletti,100g,1 porzione (200 g),164 kcal,689 kJ,Pasta e tagliolini
3,Tortellini al formaggio,100g,1 bicchiere (113 g),291 kcal,1222 kJ,Pasta e tagliolini
4,Dampfnudel,100g,1 dampfnudel (85 g),274 kcal,1151 kJ,Pasta e tagliolini
5,Tagliolini all'uovo,100g,1 bicchiere (38 g),384 kcal,1613 kJ,Pasta e tagliolini
6,Farfalle,100g,1 porzione (200 g),358 kcal,1504 kJ,Pasta e tagliolini
7,Fettuccine,100g,1 porzione (200 g),353 kcal,1483 kJ,Pasta e tagliolini
8,Fusilli,100g,1 porzione (200 g),352 kcal,1478 kJ,Pasta e tagliolini
9,Vermicelli cinesi,100g,1 porzione (200 g),192 kcal,806 kJ,Pasta e tagliolini
10,Sfoglie di lasagne,100g,1 pezzo (21 g),271 kcal,1138 kJ,Pasta e tagliolini
11,Linguine,100g,1 porzione (200 g),357 kcal,1499 kJ,Pasta e tagliolini
12,Penne lisce,100g,1 porzione (200 g),184 kcal,773 kJ,Pasta e tagliolini
13,Orecchiette,100g,1 porzione (200 g),370 kcal,1554 kJ,Pasta e tagliolini
14,Orzo,100g,1 porzione (200 g),357 kcal,1499 kJ,Pasta e tagliolini
15,Penne,100g,1 porzione (200 g),351 kcal,1474 kJ,Pasta e tagliolini
16,Penne Rigate,100g,1 porzione (200 g),370 kcal,1554 kJ,Pasta e tagliolini
17,Pierogi,100g,3 pierogi (100 g),200 kcal,840 kJ,Pasta e tagliolini
18,Ravioli,100g,1 porzione (200 g),77 kcal,323 kJ,Pasta e tagliolini
19,Rigatoni,100g,1 porzione (200 g),353 kcal,1483 kJ,Pasta e tagliolini
20,Spätzle,100g,1 porzione (200 g),368 kcal,1546 kJ,Pasta e tagliolini
21,Spaghetti,100g,1 porzione (200 g),370 kcal,1554 kJ,Pasta e tagliolini
22,Tortellini agli spinaci,100g,1 bicchiere (102 g),314 kcal,1319 kJ,Pasta e tagliolini
23,Fusilli,100g,1 porzione (200 g),367 kcal,1541 kJ,Pasta e tagliolini
24,Tagliatelle,100g,1 porzione (200 g),370 kcal,1554 kJ,Pasta e tagliolini
25,Tortellini,100g,1 bicchiere (113 g),291 kcal,1222 kJ,Pasta e tagliolini
26,Vermicelli,100g,1 porzione (200 g),368 kcal,1546 kJ,Pasta e tagliolini
27,Tagliatelle integrali,100g,1 porzione (200 g),347 kcal,1457 kJ,Pasta e tagliolini
28,Maccheroni,100g,1 bicchiere (114 g),370 kcal,1554 kJ,Pasta e tagliolini
29,Ravioli,100g,1 porzione (200 g),99 kcal,416 kJ,Pasta e tagliolini
30,Semolino di grano duro,100g,1 porzione (200 g),397 kcal,1667 kJ,Pasta e tagliolini
31,Pasta a basso contenuto di carboidrati,100g,1 porzione (200 g),282 kcal,1184 kJ,Pasta e tagliolini
32,Conchiglie,100g,1 bicchiere (85 g),353 kcal,1483 kJ,Pasta e tagliolini
33,Spaghetti shirataki,100g,1 porzione (200 g),18 kcal,76 kJ,Pasta e tagliolini
34,Spaghetti di soia,100g,1 porzione (200 g),216 kcal,907 kJ,Pasta e tagliolini
35,Spaghetti integrali,100g,1 porzione (200 g),351 kcal,1474 kJ,Pasta e tagliolini
36,Canederli,100g,1 canederli (80 g),109 kcal,458 kJ,Pasta e tagliolini
37,Pizzoccheri,100g,1 porzione (40 g),335 kcal,1407 kJ,Pasta e tagliolini
38,Pansotti,100g,1 porzione (150 g),287 kcal,1205 kJ,Pasta e tagliolini
