,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Olio di mandorle,100ml,1 cucchiaio (14 ml),882 kcal,3704 kJ,Oli vegetali
1,Olio di noccioli di albicocca,100ml,1 cucchiaio (14 ml),889 kcal,3734 kJ,Oli vegetali
2,Olio di argan,100ml,1 cucchiaio (14 ml),896 kcal,3763 kJ,Oli vegetali
3,Olio di avocado,100ml,1 cucchiaio (14 ml),857 kcal,3599 kJ,Oli vegetali
4,Olio di babassu,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli vegetali
5,Olio di colza,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli vegetali
6,Olio di cocco,100ml,1 cucchiaio (14 ml),857 kcal,3599 kJ,Oli vegetali
7,Olio di mais,100ml,1 cucchiaio (15 ml),800 kcal,3360 kJ,Oli vegetali
8,Olio di semi di cotone,100ml,1 cucchiaio (14 ml),882 kcal,3704 kJ,Oli vegetali
9,Olio di semi di vinacciolo,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli vegetali
10,Olio di nocciole,100ml,1 cucchiaio (14 ml),889 kcal,3734 kJ,Oli vegetali
11,Olio di semi di lino,100ml,1 cucchiaio (14 ml),837 kcal,3515 kJ,Oli vegetali
12,Olio di menadi,100ml,1 cucchiaio (14 ml),911 kcal,3826 kJ,Oli vegetali
13,Olio di senape,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli vegetali
14,Olio di avena,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli vegetali
15,Olio di oliva,100ml,1 cucchiaio (15 ml),800 kcal,3360 kJ,Oli vegetali
16,Olio di palma,100ml,1 cucchiaio (14 ml),882 kcal,3704 kJ,Oli vegetali
17,Olio di arachidi,100ml,1 cucchiaio (14 ml),857 kcal,3599 kJ,Oli vegetali
18,Olio di semi di papavero,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli vegetali
19,Olio di semi di zucca,100ml,1 cucchiaio (14 ml),880 kcal,3696 kJ,Oli vegetali
20,Olio di crusca di riso,100ml,1 cucchiaio (14 ml),889 kcal,3734 kJ,Oli vegetali
21,Olio di cartamo,100ml,1 cucchiaio (14 ml),857 kcal,3599 kJ,Oli vegetali
22,Olio di salmone,100ml,1 cucchiaio (14 ml),911 kcal,3826 kJ,Oli vegetali
23,Olio di sesamo,100ml,1 cucchiaio (14 ml),889 kcal,3734 kJ,Oli vegetali
24,Olio di karitè,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli vegetali
25,Olio di soia,100ml,1 cucchiaio (14 ml),882 kcal,3704 kJ,Oli vegetali
26,Olio di semi di girasole,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli vegetali
27,Olio di semi di pomodoro,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli vegetali
28,Olio vegetale,100ml,1 cucchiaio (15 ml),800 kcal,3360 kJ,Oli vegetali
29,Olio di noci,100ml,1 cucchiaio (14 ml),889 kcal,3734 kJ,Oli vegetali
30,Olio di germe di grano,100ml,1 cucchiaio (14 ml),929 kcal,3902 kJ,Oli vegetali
31,Olio extra vergine di oliva,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli vegetali
