,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Burro di mandorle,100g,1 cucchiaio (16 g),614 kcal,2579 kJ,Salse spalmabili
1,Mousse di mela,100g,1 bicchiere (255 g),68 kcal,286 kJ,Salse spalmabili
2,Marmellata di albicocche,100g,1 cucchiaio (20 g),250 kcal,1050 kJ,Salse spalmabili
3,Marmellata di mirtilli,100g,1 cucchiaio (20 g),250 kcal,1050 kJ,Salse spalmabili
4,Marmellata di ciliegie,100g,1 cucchiaio (20 g),250 kcal,1050 kJ,Salse spalmabili
5,Crema al cioccolato,100g,1 cucchiaino (12 g),541 kcal,2272 kJ,Salse spalmabili
6,Formaggio cremoso,100g,1 bicchiere (232 g),342 kcal,1436 kJ,Salse spalmabili
7,Uovo,100g,1 uovo (56 g),97 kcal,407 kJ,Salse spalmabili
8,Gelatina di uva,100g,1 cucchiaio (20 g),255 kcal,1071 kJ,Salse spalmabili
9,Miele,100g,1 cucchiaio (21 g),304 kcal,1277 kJ,Salse spalmabili
10,Gelatina,100g,1 cucchiaio (20 g),278 kcal,1168 kJ,Salse spalmabili
11,Leberwurst,100g,1 fetta (18 g),305 kcal,1281 kJ,Salse spalmabili
12,Margarina,100g,1 cucchiaio (14 g),717 kcal,3011 kJ,Salse spalmabili
13,Nutella,100g,1 porzione (15 g),544 kcal,2285 kJ,Salse spalmabili
14,Paté,100g,1 cucchiaio (13 g),319 kcal,1340 kJ,Salse spalmabili
15,Burro di arachidi,100g,1 cucchiaio (16 g),589 kcal,2474 kJ,Salse spalmabili
16,Formaggio cremoso Philadelphia / Philadelphia,100g,1 bicchiere (232 g),342 kcal,1436 kJ,Salse spalmabili
17,Marmellata di prugne,100g,1 cucchiaio (20 g),250 kcal,1050 kJ,Salse spalmabili
18,Burro salato,100g,1 bicchiere (227 g),717 kcal,3011 kJ,Salse spalmabili
19,Marmellata di fragole,100g,1 cucchiaio (20 g),250 kcal,1050 kJ,Salse spalmabili
20,Gelatina di fragole,100g,1 cucchiaio (20 g),250 kcal,1050 kJ,Salse spalmabili
21,Tapenade,100g,1 cucchiaio (15 g),233 kcal,979 kJ,Salse spalmabili
22,Burro non salato,100g,1 bicchiere (227 g),717 kcal,3011 kJ,Salse spalmabili
23,Vegemite,100g,1 cucchiaino (5 g),180 kcal,756 kJ,Salse spalmabili
24,Marmellata di more,100g,1 cucchiaio (20 g),250 kcal,1050 kJ,Salse spalmabili
25,Marmellata di ribes nero,100g,1 cucchiaio (20 g),250 kcal,1050 kJ,Salse spalmabili
26,Formaggio spalmabile,100g,1 cucchiaio (15 g),290 kcal,1218 kJ,Salse spalmabili
27,Miele selvaggio,100g,1 cucchiaio (21 g),286 kcal,1201 kJ,Salse spalmabili
28,Stracchino / Certosa / Crescenza,100g,1 cucchiaio (15 g),248 kcal,1042 kJ,Salse spalmabili
29,Salsa tonnata,100g,1 cucchiaio (10 g),65 kcal,273 kJ,Salse spalmabili
30,Crema alla nocciola,100g,1 cucchiaio (15 g),480 kcal,2016 kJ,Salse spalmabili
31,Pasta di olive,100g,1 cucchiaio (15 g),250 kcal,1050 kJ,Salse spalmabili
32,Pasta di acciughe,100g,1 cucchiaio (15 g),195 kcal,819 kJ,Salse spalmabili
