,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Gelato al cioccolato,100g,1 pallina (72 g),216 kcal,907 kJ,Gelati
1,Gelato al caffè,100g,1 pallina (72 g),236 kcal,991 kJ,Gelati
2,Cono confezionato / Cornetto gelato,100g,1 cono (141 g),255 kcal,1071 kJ,Gelati
3,Magnum,100g,1 magnum (86 g),300 kcal,1260 kJ,Gelati
4,Magnum mandorle,100g,1 magnum (86 g),315 kcal,1323 kJ,Gelati
5,Magnum Gold,100g,1 magnum (85 g),341 kcal,1432 kJ,Gelati
6,Magnum bianco,100g,1 magnum (86 g),297 kcal,1247 kJ,Gelati
7,McFlurry,100g,1 mcflurry (134 g),153 kcal,643 kJ,Gelati
8,McFlurry Smarties,100g,1 mcflurry (202 g),198 kcal,832 kJ,Gelati
9,Gelato alla spina,100g,1 coppetta (86 g),222 kcal,932 kJ,Gelati
10,Solero,100g,1 solero (75 g),100 kcal,420 kJ,Gelati
11,Gelato alla fragola,100g,1 pallina (72 g),236 kcal,991 kJ,Gelati
12,Sundae,100g,1 pallina (72 g),215 kcal,903 kJ,Gelati
13,Gelato alla vaniglia,100g,1 pallina (72 g),201 kcal,844 kJ,Gelati
14,Gelato col biscotto,100g,1 barretta (112 g),237 kcal,995 kJ,Gelati
15,Gelato con scaglie di cioccolato,100g,1 pallina (72 g),215 kcal,903 kJ,Gelati
16,Magnum Double Caramel,100g,1 magnum (86 g),355 kcal,1491 kJ,Gelati
17,Magnum Double Chocolate,100g,1 magnum (86 g),380 kcal,1596 kJ,Gelati
18,Gelato Snickers,100g,1 barretta (50 g),360 kcal,1512 kJ,Gelati
19,Sundae alla fragola,100g,1 coppa (178 g),158 kcal,664 kJ,Gelati
20,Gelato alla menta con scaglie di cioccolato,100g,1 pallina (72 g),239 kcal,1004 kJ,Gelati
21,Gelato artigianale,100g,1 pallina (72 g),130 kcal,546 kJ,Gelati
22,Sammontana Stecco Ducale,100g,1 porzione (84 g),210 kcal,882 kJ,Gelati
23,Cono Cinque Stella Sammontana,100g,1 porzione (75 g),314 kcal,1319 kJ,Gelati
24,Calippo Sammontana,100g,1 porzione (105 g),91 kcal,382 kJ,Gelati
25,Cucciolone Sammontana,100g,1 porzione (80 g),222 kcal,932 kJ,Gelati
26,Maxibon Motta,100g,1 pezzo (54 g),321 kcal,1348 kJ,Gelati
27,Coppa del Nonno Motta,100g,1 porzione (72 g),256 kcal,1075 kJ,Gelati
