,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Coca Cola,100ml,1 bottiglietta (500 ml),42 kcal,176 kJ,Bevande gassate e bibite
1,Coca Cola Zero,100ml,1 bottiglietta (500 ml),0 kcal,0 kJ,Bevande gassate e bibite
2,Coca Cola light,100ml,1 bottiglietta (500 ml),1 kcal,4 kJ,Bevande gassate e bibite
3,Pepsi light,100ml,1 bottiglietta (500 ml),0 kcal,0 kJ,Bevande gassate e bibite
4,Fanta,100ml,1 bottiglietta (500 ml),39 kcal,164 kJ,Bevande gassate e bibite
5,Fanta Zero,100ml,1 bottiglietta (500 ml),0 kcal,0 kJ,Bevande gassate e bibite
6,Tè freddo,100ml,1 bottiglietta (500 ml),27 kcal,113 kJ,Bevande gassate e bibite
7,Limonata / Gassosa / Spuma,100ml,1 bottiglietta (500 ml),42 kcal,176 kJ,Bevande gassate e bibite
8,Minute Maid,100ml,1 bicchiere (240 ml),46 kcal,193 kJ,Bevande gassate e bibite
9,Pepsi,100ml,1 bottiglietta (500 ml),44 kcal,185 kJ,Bevande gassate e bibite
10,Powerade,100ml,1 bottiglietta (500 ml),120 kcal,504 kJ,Bevande gassate e bibite
11,Sprite,100ml,1 bottiglietta (500 ml),37 kcal,155 kJ,Bevande gassate e bibite
12,Sprite Zero,100ml,1 bottiglietta (500 ml),0 kcal,0 kJ,Bevande gassate e bibite
13,Acqua tonica,100ml,1 bottiglietta (500 ml),35 kcal,147 kJ,Bevande gassate e bibite
14,Ginger ale,100ml,1 bottiglietta (500 ml),35 kcal,147 kJ,Bevande gassate e bibite
15,Bibita gassata,100ml,1 bottiglietta (500 ml),53 kcal,223 kJ,Bevande gassate e bibite
16,Aranciata,100ml,1 bottiglietta (500 ml),48 kcal,202 kJ,Bevande gassate e bibite
17,Minute Maid Light,100ml,1 bicchiere (240 ml),2 kcal,8 kJ,Bevande gassate e bibite
18,Aranciata amara,100ml,1 bottiglietta (500 ml),34 kcal,143 kJ,Bevande gassate e bibite
19,Ginger Ale Schweppes,100ml,1 bottiglietta (500 ml),38 kcal,160 kJ,Bevande gassate e bibite
20,Crodino,100ml,1 bottiglietta (100 ml),58 kcal,244 kJ,Bevande gassate e bibite
21,Cedrata,100ml,1 bottiglietta (250 ml),139 kcal,584 kJ,Bevande gassate e bibite
22,Chinotto,100ml,1 bottiglietta (200 ml),46 kcal,193 kJ,Bevande gassate e bibite
23,Sanbittèr / San Pellegrino Bitter,100ml,1 bottiglietta (100 ml),66 kcal,277 kJ,Bevande gassate e bibite
