,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Carciofo,100g,1 carciofo (128 g),47 kcal,197 kJ,Verdure
1,Rucola,100g,1 foglia (2 g),25 kcal,105 kJ,Verdure
2,Asparago,100g,1 pezzo (12 g),20 kcal,84 kJ,Verdure
3,Barbabietola,100g,1 barbabietola (82 g),43 kcal,181 kJ,Verdure
4,Olive nere,100g,1 oliva (2.7 g),115 kcal,483 kJ,Verdure
5,Broccoli,100g,1 broccolo (608 g),34 kcal,143 kJ,Verdure
6,Cavolini di Bruxelles,100g,1 pezzo (19 g),43 kcal,181 kJ,Verdure
7,Cappuccio,100g,1 cespo (908 g),25 kcal,105 kJ,Verdure
8,Carota,100g,1 carota (61 g),41 kcal,172 kJ,Verdure
9,Cavolfiore,100g,1 cavolfiore (13 g),25 kcal,105 kJ,Verdure
10,Sedano,100g,1 gambo (40 g),16 kcal,67 kJ,Verdure
11,Bietola,100g,1 foglia (48 g),19 kcal,80 kJ,Verdure
12,Pomodoro ciliegino,100g,1 pomodoro ciliegino (20 g),100 kcal,420 kJ,Verdure
13,Cicoria / Radicchio,100g,1 cespo (53 g),72 kcal,302 kJ,Verdure
14,Erba cipollina,100g,"1 cucchiaio, tritato (3 g)",30 kcal,126 kJ,Verdure
15,Mais,100g,1 bicchiere (154 g),365 kcal,1533 kJ,Verdure
16,Spinaci alla panna,100g,1 bicchiere (200 g),74 kcal,311 kJ,Verdure
17,Cetriolo,100g,1 cetriolo (410 g),16 kcal,67 kJ,Verdure
18,Melanzana,100g,1 melanzana (458 g),25 kcal,105 kJ,Verdure
19,Indivia,100g,1 cespo (513 g),17 kcal,71 kJ,Verdure
20,Finocchio,100g,1 finocchio (234 g),31 kcal,130 kJ,Verdure
21,Aglio,100g,1 spicchio (3 g),149 kcal,626 kJ,Verdure
22,Cetrioli in salamoia,100g,1 cetriolo (65 g),14 kcal,59 kJ,Verdure
23,Zucca,100g,1 zucca (771 g),14 kcal,59 kJ,Verdure
24,Fagiolini,100g,1 bicchiere (110 g),31 kcal,130 kJ,Verdure
25,Olive verdi,100g,1 oliva (2.7 g),115 kcal,483 kJ,Verdure
26,Cipollotto,100g,1 cipollotto (15 g),32 kcal,134 kJ,Verdure
27,Rafano,100g,1 cucchiaio (15 g),48 kcal,202 kJ,Verdure
28,Cavolo riccio,100g,"1 bicchiere, tritato (67 g)",49 kcal,206 kJ,Verdure
29,Cavolo rapa,100g,1 cavolo rapa (400 g),27 kcal,113 kJ,Verdure
30,Porro,100g,1 porro (89 g),61 kcal,256 kJ,Verdure
31,Lattuga,100g,1 cespo (600 g),15 kcal,63 kJ,Verdure
32,Funghi,100g,1 fungo (5.4 g),22 kcal,92 kJ,Verdure
33,Foglie di senape,100g,"1 bicchiere, tritato (56 g)",27 kcal,113 kJ,Verdure
34,Alghe nori,100g,1 foglio (2.6 g),35 kcal,147 kJ,Verdure
35,Okra / Gombo,100g,1 pezzo (12 g),33 kcal,139 kJ,Verdure
36,Olive,100g,1 oliva (2.7 g),115 kcal,483 kJ,Verdure
37,Cipolla,100g,1 cipolla (85 g),40 kcal,168 kJ,Verdure
38,Pastinaca,100g,1 pastinaca (170 g),75 kcal,315 kJ,Verdure
39,Piselli,100g,1 bicchiere (98 g),81 kcal,340 kJ,Verdure
40,Peperone,100g,1 peperone (75 g),27 kcal,113 kJ,Verdure
41,Patata,100g,1 patata (213 g),77 kcal,323 kJ,Verdure
42,Zucca,100g,1 zucca (196 g),26 kcal,109 kJ,Verdure
43,Ravanelli,100g,1 ravanello (4.5 g),16 kcal,67 kJ,Verdure
44,Cavolo rosso,100g,1 foglia (22 g),31 kcal,130 kJ,Verdure
45,Rutabaga,100g,1 rutabaga (386 g),38 kcal,160 kJ,Verdure
46,Scalogni,100g,1 scalogno (25 g),72 kcal,302 kJ,Verdure
47,Spinaci,100g,1 porzione (340 g),23 kcal,97 kJ,Verdure
48,Patata dolce,100g,1 patata (130 g),86 kcal,361 kJ,Verdure
49,Pomodoro,100g,1 pomodoro (111 g),18 kcal,76 kJ,Verdure
50,Wasabi,100g,1 radice (169 g),109 kcal,458 kJ,Verdure
51,Zucchina,100g,1 zucchina (196 g),17 kcal,71 kJ,Verdure
52,Rape,100g,1 rapa (122 g),28 kcal,118 kJ,Verdure
53,Cavolo cinese,100g,1 cespo (840 g),16 kcal,67 kJ,Verdure
54,Cavolo,100g,"1 bicchiere, crudo (36 g)",32 kcal,134 kJ,Verdure
55,Cime di rapa,100g,1 cima di rapa (170 g),20 kcal,84 kJ,Verdure
56,Verza,100g,1 porzione (150 g),32 kcal,134 kJ,Verdure
57,Cardo,100g,1 cardo (50 g),17 kcal,71 kJ,Verdure
