,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Bacon,100g,1 fetta (26 g),407 kcal,1709 kJ,Carne di maiale
1,Macinato di maiale,100g,1 confezione (500 g),263 kcal,1105 kJ,Carne di maiale
2,Strutto,100g,1 cucchiaio (13 g),898 kcal,3772 kJ,Carne di maiale
3,Polpettone di carne,100g,1 fetta (250 g),89 kcal,374 kJ,Carne di maiale
4,Prosciutto di Parma,100g,1 porzione (12 g),261 kcal,1096 kJ,Carne di maiale
5,Orecchio di maiale,100g,1 orecchio (111 g),166 kcal,697 kJ,Carne di maiale
6,Lardo,100g,1 confezione (200 g),638 kcal,2680 kJ,Carne di maiale
7,Coda di maiale,100g,1 fetta (275 g),396 kcal,1663 kJ,Carne di maiale
8,Zampone di maiale,100g,1 porzione (85 g),243 kcal,1021 kJ,Carne di maiale
9,Bacon di maiale,100g,1 fetta (26 g),407 kcal,1709 kJ,Carne di maiale
10,Pancetta di maiale,100g,1 porzione (454 g),518 kcal,2176 kJ,Carne di maiale
11,Cosciotto di maiale,100g,1 pezzo (231 g),201 kcal,844 kJ,Carne di maiale
12,Lombata di maiale,100g,1 pezzo (333 g),143 kcal,601 kJ,Carne di maiale
13,Polpettone di maiale,100g,1 fetta (250 g),243 kcal,1021 kJ,Carne di maiale
14,Ragù di maiale,100g,1 porzione (361 g),73 kcal,307 kJ,Carne di maiale
15,Costine di maiale,100g,1 pezzo (84 g),292 kcal,1226 kJ,Carne di maiale
16,Arrosto di maiale,100g,1 pezzo (263 g),194 kcal,815 kJ,Carne di maiale
17,Salsiccia di maiale,100g,1 salsiccia (48 g),339 kcal,1424 kJ,Carne di maiale
18,Spalla di maiale,100g,1 porzione (140 g),172 kcal,722 kJ,Carne di maiale
19,Spalla di maiale,100g,1 pezzo (262 g),269 kcal,1130 kJ,Carne di maiale
20,Scapola di maiale arrosto,100g,1 porzione (170 g),232 kcal,974 kJ,Carne di maiale
21,Trippa di maiale,100g,1 porzione (113 g),250 kcal,1050 kJ,Carne di maiale
22,Carne salata,100g,1 porzione (30 g),286 kcal,1201 kJ,Carne di maiale
23,Prosciutto Serrano,100g,1 confezione (500 g),339 kcal,1424 kJ,Carne di maiale
24,Cotolette di maiale,100g,1 confezione (283 g),131 kcal,550 kJ,Carne di maiale
25,Testa in cassetta / Soppressata,100g,1 fetta (25 g),309 kcal,1298 kJ,Carne di maiale
26,Intestino di maiale stufato,100g,1 porzione (113 g),233 kcal,979 kJ,Carne di maiale
27,Carne di maiale salata,100g,1 confezione (340 g),286 kcal,1201 kJ,Carne di maiale
28,Rosticciana,100g,1 pezzo (84 g),396 kcal,1663 kJ,Carne di maiale
29,Bistecca di scapola di maiale,100g,1 porzione (113 g),232 kcal,974 kJ,Carne di maiale
30,Mortadella,100g,1 fetta (30 g),310 kcal,1302 kJ,Carne di maiale
31,Cotechino,100g,1 pezzo (65 g),450 kcal,1890 kJ,Carne di maiale
32,Prosciutto cotto,100g,1 fetta (29 g),103 kcal,433 kJ,Carne di maiale
