,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Purè di mela / Polpa di mela,100g,1 bicchiere (114 g),62 kcal,260 kJ,Conserve di frutta
1,Albicocche in scatola,100g,1 bicchiere (246 g),48 kcal,202 kJ,Conserve di frutta
2,More in scatola,100g,1 bicchiere (256 g),92 kcal,386 kJ,Conserve di frutta
3,Mirtilli in scatola,100g,1 bicchiere (256 g),88 kcal,370 kJ,Conserve di frutta
4,Ciliegie in scatola,100g,1 bicchiere (250 g),54 kcal,227 kJ,Conserve di frutta
5,Cranberry in scatola / Mirtilli rossi in scatola,100g,1 bicchiere (275 g),178 kcal,748 kJ,Conserve di frutta
6,Ananas in scatola a pezzetti,100g,1 bicchiere (225 g),53 kcal,223 kJ,Conserve di frutta
7,Fichi in scatola,100g,1 bicchiere (261 g),107 kcal,449 kJ,Conserve di frutta
8,Macedonia in scatola,100g,1 bicchiere (259 g),50 kcal,210 kJ,Conserve di frutta
9,Uva spina in scatola,100g,1 bicchiere (252 g),73 kcal,307 kJ,Conserve di frutta
10,Pompelmo in scatola,100g,1 bicchiere (249 g),37 kcal,155 kJ,Conserve di frutta
11,Uva in scatola,100g,1 bicchiere (256 g),76 kcal,319 kJ,Conserve di frutta
12,Mandarini / Clementine in scatola,100g,1 lattina (113 g),71 kcal,298 kJ,Conserve di frutta
13,Magno in scatola,100g,1 bicchiere (165 g),65 kcal,273 kJ,Conserve di frutta
14,Frutta mista in scatola,100g,1 lattina (113 g),71 kcal,298 kJ,Conserve di frutta
15,Amarene in scatola,100g,1 bicchiere (270 g),81 kcal,340 kJ,Conserve di frutta
16,Arance in scatole,100g,1 lattina (113 g),62 kcal,260 kJ,Conserve di frutta
17,Pesche in scatola,100g,1/2 pesca (98 g),54 kcal,227 kJ,Conserve di frutta
18,Pere di scatola,100g,1 bicchiere (284 g),35 kcal,147 kJ,Conserve di frutta
19,Ananas in scatola,100g,1 bicchiere (232 g),60 kcal,252 kJ,Conserve di frutta
20,Prugne in scatola,100g,1 prugna (46 g),58 kcal,244 kJ,Conserve di frutta
21,Lamponi in scatola,100g,1 bicchiere (256 g),91 kcal,382 kJ,Conserve di frutta
22,Ananas a fette in scatola,100g,1 bicchiere (225 g),53 kcal,223 kJ,Conserve di frutta
23,Fragole in scatola,100g,1 bicchiere (254 g),92 kcal,386 kJ,Conserve di frutta
24,Frutta essiccata,100g,1 busta (300 g),243 kcal,1021 kJ,Conserve di frutta
25,Macedonia di frutta in scatola,100g,1 bicchiere (246 g),81 kcal,340 kJ,Conserve di frutta
