,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Manzo,100g,1 porzione (168 g),171 kcal,718 kJ,Manzo e vitello
1,Punta di petto di manzo,100g,1 pezzo (178 g),137 kcal,575 kJ,Manzo e vitello
2,Filetto di manzo,100g,1 porzione (168 g),189 kcal,794 kJ,Manzo e vitello
3,Gulasch di manzo,100g,1 bicchiere (227 g),123 kcal,517 kJ,Manzo e vitello
4,Collo di manzo,100g,1 pezzo (224 g),213 kcal,895 kJ,Manzo e vitello
5,Pancreas di manzo,100g,1 pezzo (222 g),271 kcal,1138 kJ,Manzo e vitello
6,Hamburger di manzo,100g,1 pezzo (64 g),247 kcal,1037 kJ,Manzo e vitello
7,Costolette di manzo,100g,1 costoletta (340 g),196 kcal,823 kJ,Manzo e vitello
8,Sego bovino,100g,1 bicchiere (205 g),902 kcal,3788 kJ,Manzo e vitello
9,Animelle bovine,100g,1 pezzo (381 g),319 kcal,1340 kJ,Manzo e vitello
10,Trippa di manzo,100g,1 porzione (85 g),94 kcal,395 kJ,Manzo e vitello
11,Bistecca di spalla,100g,1 pezzo (340 g),137 kcal,575 kJ,Manzo e vitello
12,Filetto,100g,1 porzione (168 g),207 kcal,869 kJ,Manzo e vitello
13,Macinato di manzo,100g,1 porzione (168 g),241 kcal,1012 kJ,Manzo e vitello
14,Macinato di vitello,100g,1 porzione (168 g),143 kcal,601 kJ,Manzo e vitello
15,Roast beef,100g,1 fetta (341 g),187 kcal,785 kJ,Manzo e vitello
16,Bistecca di fesa,100g,1 bistecca (205 g),171 kcal,718 kJ,Manzo e vitello
17,Stufato di manzo,100g,1 porzione (252 g),191 kcal,802 kJ,Manzo e vitello
18,Vitello,100g,1 pezzo (291 g),282 kcal,1184 kJ,Manzo e vitello
19,Petto di vitello,100g,1 pezzo (291 g),282 kcal,1184 kJ,Manzo e vitello
20,Coscia di vitello,100g,1 pezzo (272 g),211 kcal,886 kJ,Manzo e vitello
21,Stinco di vitello,100g,1 pezzo (223 g),177 kcal,743 kJ,Manzo e vitello
22,Spalla di vitello,100g,1 pezzo (283 g),183 kcal,769 kJ,Manzo e vitello
23,Lombata di manzo,100g,1 porzione (85 g),182 kcal,764 kJ,Manzo e vitello
24,Roast beef di vitello,100g,1 pezzo (208 g),175 kcal,735 kJ,Manzo e vitello
25,Lombata di vitello,100g,1 pezzo (183 g),204 kcal,857 kJ,Manzo e vitello
26,Grasso di rognone di manzo,100g,1 confezione (500 g),854 kcal,3587 kJ,Manzo e vitello
27,Spalla arrosto,100g,1 pezzo (224 g),141 kcal,592 kJ,Manzo e vitello
28,Bavette,100g,1 bistecca (320 g),194 kcal,815 kJ,Manzo e vitello
29,Bistecca di reale,100g,1 porzione (168 g),205 kcal,861 kJ,Manzo e vitello
30,Filetto di manzo,100g,1 pezzo (229 g),217 kcal,911 kJ,Manzo e vitello
31,Costata di manzo,100g,1 bistecca (281 g),217 kcal,911 kJ,Manzo e vitello
32,Lombata,100g,3 fette (34 g),117 kcal,491 kJ,Manzo e vitello
33,Bistecca alla fiorentina,100g,1 porzione (168 g),221 kcal,928 kJ,Manzo e vitello
34,Costata di manzo,100g,1 pezzo (278 g),404 kcal,1697 kJ,Manzo e vitello
35,Macinato di spalla,100g,1 porzione (168 g),250 kcal,1050 kJ,Manzo e vitello
