,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Estratto di mandorle,100g,1 cucchiaio (10 g),374 kcal,1571 kJ,Erbe e spezie
1,Anice,100g,1 cucchiaino (2.1 g),337 kcal,1415 kJ,Erbe e spezie
2,Semi d'anice,100g,1 cucchiaino (2.1 g),337 kcal,1415 kJ,Erbe e spezie
3,Rucola,100g,1 foglia (2 g),25 kcal,105 kJ,Erbe e spezie
4,Aceto balsamico,100g,1 cucchiaio (16 g),88 kcal,370 kJ,Erbe e spezie
5,Basilico,100g,1 cucchiaino (0.7 g),233 kcal,979 kJ,Erbe e spezie
6,Pepe nero,100g,1 cucchiaino (2.4 g),251 kcal,1054 kJ,Erbe e spezie
7,Semi di sesamo nero,100g,1 cucchiaio (9 g),573 kcal,2407 kJ,Erbe e spezie
8,Brodo,100g,1 cucchiaino (5 g),100 kcal,420 kJ,Erbe e spezie
9,Capperi,100g,1 cucchiaio (8.6 g),23 kcal,97 kJ,Erbe e spezie
10,Cumino dei prati / Comino / Carvi,100g,1 cucchiaio (6.7 g),333 kcal,1399 kJ,Erbe e spezie
11,Manioca / Tapioca / Cassava,100g,1 radice (408 g),160 kcal,672 kJ,Erbe e spezie
12,Peperoncino di cayenna,100g,1 cucchiaino (1.8 g),318 kcal,1336 kJ,Erbe e spezie
13,Bietola,100g,1 foglia (48 g),19 kcal,80 kJ,Erbe e spezie
14,Radici di cicoria,100g,1 radice (60 g),72 kcal,302 kJ,Erbe e spezie
15,Peperoncino,100g,1 cucchiaio (8 g),282 kcal,1184 kJ,Erbe e spezie
16,Peperoncino in polvere,100g,1 cucchiaino (2.7 g),282 kcal,1184 kJ,Erbe e spezie
17,Erba cipollina,100g,1 cucchiaio (3 g),30 kcal,126 kJ,Erbe e spezie
18,Aceto di mele,100g,1 cucchiaio (14.9 g),21 kcal,88 kJ,Erbe e spezie
19,Cannella,100g,1 cucchiaio (7.9 g),247 kcal,1037 kJ,Erbe e spezie
20,Chiodi di garofano,100g,1 cucchiaio (6.5 g),274 kcal,1151 kJ,Erbe e spezie
21,Coriandolo,100g,1/4 di bicchiere (4 g),23 kcal,97 kJ,Erbe e spezie
22,Crescione,100g,1 rametto (1 g),32 kcal,134 kJ,Erbe e spezie
23,Zenzero cristallizzato,100g,1 cucchiaio (5.2 g),335 kcal,1407 kJ,Erbe e spezie
24,Cumino,100g,1 cucchiaio (6 g),375 kcal,1575 kJ,Erbe e spezie
25,Curry,100g,1 cucchiaio (6.3 g),325 kcal,1365 kJ,Erbe e spezie
26,Tarassaco,100g,1 bicchiere (55 g),45 kcal,189 kJ,Erbe e spezie
27,Aneto,100g,5 rametti (1 g),43 kcal,181 kJ,Erbe e spezie
28,Finocchio,100g,1 finocchio (234 g),31 kcal,130 kJ,Erbe e spezie
29,Semi di finocchio,100g,1 cucchiaino (2 g),345 kcal,1449 kJ,Erbe e spezie
30,Aglio,100g,1 spicchio (3 g),149 kcal,626 kJ,Erbe e spezie
31,Aglio in polvere,100g,1 cucchiaino (3.1 g),331 kcal,1390 kJ,Erbe e spezie
32,Sale all'aglio,100g,1/4 di cucchiaino (1 g),0 kcal,0 kJ,Erbe e spezie
33,Zenzero,100g,1 cucchiaino (2 g),80 kcal,336 kJ,Erbe e spezie
34,Foglie di vite,100g,1 foglia (3 g),93 kcal,391 kJ,Erbe e spezie
35,Rafano,100g,1 cucchiaio (15 g),48 kcal,202 kJ,Erbe e spezie
36,Sale iodato,100g,1 cucchiaio (18 g),0 kcal,0 kJ,Erbe e spezie
37,Jalapeño,100g,1 cucchiaino (3 g),13 kcal,55 kJ,Erbe e spezie
38,Ginepro,100g,1 bicchiere (55 g),45 kcal,189 kJ,Erbe e spezie
39,Liquirizia,100g,1 cucchiaio (18 g),375 kcal,1575 kJ,Erbe e spezie
40,Dado Maggi,100g,1 dado (10 g),104 kcal,437 kJ,Erbe e spezie
41,Maggiorana,100g,1 cucchiaio (1.7 g),271 kcal,1138 kJ,Erbe e spezie
42,Cipolla tritata,100g,1 bicchiere (160 g),40 kcal,168 kJ,Erbe e spezie
43,Menta,100g,1 cucchiaio (1.6 g),70 kcal,294 kJ,Erbe e spezie
44,Semi di senape,100g,1 cucchiaino (2 g),508 kcal,2134 kJ,Erbe e spezie
45,Noce moscata,100g,1 cucchiaino (2.2 g),525 kcal,2205 kJ,Erbe e spezie
46,Okra / Gumbo,100g,1 cucchiaio (18 g),33 kcal,139 kJ,Erbe e spezie
47,Cipolla,100g,1 cipolla (85 g),40 kcal,168 kJ,Erbe e spezie
48,Cipolla in polvere,100g,1 cucchiaino (2.4 g),341 kcal,1432 kJ,Erbe e spezie
49,Buccia d'arancia,100g,1 cucchiaio (6 g),97 kcal,407 kJ,Erbe e spezie
50,Origano,100g,1 cucchiaino (1 g),265 kcal,1113 kJ,Erbe e spezie
51,Prezzemolo,100g,1 cucchiaio (3.8 g),36 kcal,151 kJ,Erbe e spezie
52,Pastinaca,100g,1 pastinaca (170 g),75 kcal,315 kJ,Erbe e spezie
53,Pepe,100g,1 cucchiaino (2.4 g),251 kcal,1054 kJ,Erbe e spezie
54,Semi di papavero,100g,1 cucchiaio (8.8 g),525 kcal,2205 kJ,Erbe e spezie
55,Peperoncino rosso,100g,1 cucchiaino (3 g),251 kcal,1054 kJ,Erbe e spezie
56,Aceto di vino rosso,100g,1 cucchiaio (14.9 g),19 kcal,80 kJ,Erbe e spezie
57,Rosmarino,100g,1 cucchiaio (1.7 g),131 kcal,550 kJ,Erbe e spezie
58,Zafferano,100g,1 cucchiaio (2.1 g),310 kcal,1302 kJ,Erbe e spezie
59,Salvia,100g,1 cucchiaio (2 g),315 kcal,1323 kJ,Erbe e spezie
60,Sale,100g,1 cucchiaio (18 g),0 kcal,0 kJ,Erbe e spezie
61,Sale marino,100g,1 cucchiaio (18 g),0 kcal,0 kJ,Erbe e spezie
62,Semi di sesamo,100g,1 bicchiere (144 g),573 kcal,2407 kJ,Erbe e spezie
63,Stevia,100g,1 cucchiaio (15 g),0 kcal,0 kJ,Erbe e spezie
64,Tamarindo,100g,1 tamarindo (2 g),239 kcal,1004 kJ,Erbe e spezie
65,Taro,100g,"1 bicchiere, tritato (104 g)",112 kcal,470 kJ,Erbe e spezie
66,Dragoncello / Estragone,100g,1 cucchiaio (1.8 g),295 kcal,1239 kJ,Erbe e spezie
67,Timo,100g,1 cucchiaino (1 g),276 kcal,1159 kJ,Erbe e spezie
68,Curcuma,100g,1 cucchiaino (2.2 g),354 kcal,1487 kJ,Erbe e spezie
69,Vanillina,100g,1 cucchiaio (13 g),288 kcal,1210 kJ,Erbe e spezie
70,Aceto,100g,1 cucchiaio (14.9 g),18 kcal,76 kJ,Erbe e spezie
71,Pepe bianco,100g,1 cucchiaino (2.4 g),296 kcal,1243 kJ,Erbe e spezie
72,Igname / Patata dolce,100g,1 bicchiere (150 g),118 kcal,496 kJ,Erbe e spezie
73,Baccello di vaniglia,100g,1 pezzo (4 g),250 kcal,1050 kJ,Erbe e spezie
74,Foglie di cicoria,100g,1 bicchiere (29 g),23 kcal,97 kJ,Erbe e spezie
75,Borragine,100g,1 foglia (5 g),21 kcal,88 kJ,Erbe e spezie
76,Capperi,100g,1 porzione (10 g),23 kcal,97 kJ,Erbe e spezie
77,Alloro,100g,1 foglia (5 g),313 kcal,1315 kJ,Erbe e spezie
78,Vaniglia,100g,1 baccello di vaniglia (5 g),272 kcal,1142 kJ,Erbe e spezie
79,Paprika,100g,1 cucchiaino (3 g),159 kcal,668 kJ,Erbe e spezie
