,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Cheerios,100g,1 porzione (37.5 g),347 kcal,1457 kJ,"Cereali, muesli e avena"
1,Coco Pops,100g,1 porzione (37.5 g),386 kcal,1621 kJ,"Cereali, muesli e avena"
2,Cookie Crisp,100g,1 porzione (37.5 g),400 kcal,1680 kJ,"Cereali, muesli e avena"
3,Corn flakes / Fiocchi di mais,100g,1 porzione (37.5 g),357 kcal,1499 kJ,"Cereali, muesli e avena"
4,Corn Pops,100g,1 porzione (37.5 g),377 kcal,1583 kJ,"Cereali, muesli e avena"
5,Crunchy Nut,100g,1 porzione (37.5 g),600 kcal,2520 kJ,"Cereali, muesli e avena"
6,Frosties,100g,1 porzione (37.5 g),367 kcal,1541 kJ,"Cereali, muesli e avena"
7,Kelloggs Corn Flakes,100g,1 porzione (37.5 g),357 kcal,1499 kJ,"Cereali, muesli e avena"
8,Muesli,100g,1 porzione (37.5 g),336 kcal,1411 kJ,"Cereali, muesli e avena"
9,Farina di avena,100g,1 bicchiere (175 g),375 kcal,1575 kJ,"Cereali, muesli e avena"
10,Riso soffiato,100g,1 porzione (37.5 g),383 kcal,1609 kJ,"Cereali, muesli e avena"
11,Grano soffiato,100g,1 porzione (37.5 g),367 kcal,1541 kJ,"Cereali, muesli e avena"
12,Rice Krispies,100g,1 porzione (37.5 g),394 kcal,1655 kJ,"Cereali, muesli e avena"
13,Special K,100g,1 porzione (37.5 g),377 kcal,1583 kJ,"Cereali, muesli e avena"
14,Trix,100g,1 porzione (37.5 g),400 kcal,1680 kJ,"Cereali, muesli e avena"
15,Weetabix,100g,1 porzione (37.5 g),358 kcal,1504 kJ,"Cereali, muesli e avena"
16,Special K Cioccolato fondente,100g,1 porzione (37.5 g),388 kcal,1630 kJ,"Cereali, muesli e avena"
17,Special K Frutti rossi,100g,1 porzione (37.5 g),345 kcal,1449 kJ,"Cereali, muesli e avena"
18,Coco Pops,100g,1 porzione (37.5 g),376 kcal,1579 kJ,"Cereali, muesli e avena"
19,Kelloggs All-Bran Bastoncini,100g,1 porzione (37.5 g),134 kcal,563 kJ,"Cereali, muesli e avena"
20,Kelloggs All-Bran Pepite al cioccolato,100g,1 porzione (37.5 g),405 kcal,1701 kJ,"Cereali, muesli e avena"
21,Kelloggs Choco Krave,100g,1 porzione (37.5 g),387 kcal,1625 kJ,"Cereali, muesli e avena"
22,Kelloggs Choco Krave Sticks,100g,1 porzione (37.5 g),451 kcal,1894 kJ,"Cereali, muesli e avena"
23,Kelloggs Choco Krave Total Choco,100g,1 porzione (37.5 g),441 kcal,1852 kJ,"Cereali, muesli e avena"
24,Kellogs Corn Flakes al cioccolato,100g,1 porzione (37.5 g),389 kcal,1634 kJ,"Cereali, muesli e avena"
25,Kellogs Extra Cioccolato Fondente Belga e Nocciole,100g,1 porzione (37.5 g),485 kcal,2037 kJ,"Cereali, muesli e avena"
26,Kellogs Extra Cioccolato al Latte,100g,1 porzione (37.5 g),493 kcal,2071 kJ,"Cereali, muesli e avena"
27,Kellogs Extra Croccante di Avena,100g,1 porzione (37.5 g),482 kcal,2024 kJ,"Cereali, muesli e avena"
28,Kellogs Extra Delizie di Frutta,100g,1 porzione (37.5 g),471 kcal,1978 kJ,"Cereali, muesli e avena"
29,Special K Albicocche e Pesche,100g,1 porzione (37.5 g),378 kcal,1588 kJ,"Cereali, muesli e avena"
30,Special K Cioccolato al latte,100g,1 porzione (37.5 g),396 kcal,1663 kJ,"Cereali, muesli e avena"
31,Special K Sensations,100g,1 porzione (37.5 g),386 kcal,1621 kJ,"Cereali, muesli e avena"
32,Special K Yogurt,100g,1 porzione (37.5 g),375 kcal,1575 kJ,"Cereali, muesli e avena"
