,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Prosciutto al forno,100g,1 fetta (21 g),343 kcal,1441 kJ,Salumi e affettati
1,Salame di manzo,100g,1 fetta (10 g),375 kcal,1575 kJ,Salumi e affettati
2,Prosciutto cotto,100g,1 fetta (21 g),126 kcal,529 kJ,Salumi e affettati
3,Bologna sausage,100g,1 fetta (23 g),247 kcal,1037 kJ,Salumi e affettati
4,Bresaola,100g,1 fetta (9 g),178 kcal,748 kJ,Salumi e affettati
5,Capocollo / Coppa,100g,1 fetta (21 g),110 kcal,462 kJ,Salumi e affettati
6,Chorizo,100g,1 fetta (3.4 g),455 kcal,1911 kJ,Salumi e affettati
7,Maiale sotto sale,100g,1 fetta (21 g),251 kcal,1054 kJ,Salumi e affettati
8,Prosciutto,100g,1 fetta (23 g),145 kcal,609 kJ,Salumi e affettati
9,Ham sausage,100g,1 fetta (23 g),164 kcal,689 kJ,Salumi e affettati
10,Testa in cassetta,100g,1 fetta (28 g),157 kcal,659 kJ,Salumi e affettati
11,Leberwurst,100g,1 fetta (18 g),326 kcal,1369 kJ,Salumi e affettati
12,Prosciutto di Parma,100g,1 fetta (11 g),345 kcal,1449 kJ,Salumi e affettati
13,Pastrami,100g,1 fetta (29 g),133 kcal,559 kJ,Salumi e affettati
14,Arrosto di maiale,100g,1 fetta (21 g),247 kcal,1037 kJ,Salumi e affettati
15,Prosciutto,100g,1 fetta (9 g),195 kcal,819 kJ,Salumi e affettati
16,Roast beef,100g,1 fetta (21 g),267 kcal,1121 kJ,Salumi e affettati
17,Salame,100g,1 fetta (12.3 g),336 kcal,1411 kJ,Salumi e affettati
18,Prosciutto Serrano,100g,1 fetta (15 g),300 kcal,1260 kJ,Salumi e affettati
19,Prosciutto affumicato,100g,1 fetta (21 g),107 kcal,449 kJ,Salumi e affettati
20,Salsiccia stagionata,100g,1 fetta (21 g),298 kcal,1252 kJ,Salumi e affettati
21,Lingua,100g,1 fetta (28 g),284 kcal,1193 kJ,Salumi e affettati
22,Petto di tacchino,100g,1 fetta (21 g),104 kcal,437 kJ,Salumi e affettati
23,Prosciutto di tacchino,100g,1 fetta (21 g),126 kcal,529 kJ,Salumi e affettati
24,Salame di tacchino,100g,1 fetta (23 g),152 kcal,638 kJ,Salumi e affettati
25,Filetto di petto di pollo,100g,1 fetta (21 g),79 kcal,332 kJ,Salumi e affettati
26,Petto di tacchino affumicato,100g,1 fetta (21 g),104 kcal,437 kJ,Salumi e affettati
27,Petto di tacchino al forno,100g,1 fetta (21 g),104 kcal,437 kJ,Salumi e affettati
