,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Anguria / Cocomero,100g,1 fetta (286 g),30 kcal,126 kJ,Frutta secca e semi
1,Mandorle,100g,1 bicchiere (95 g),575 kcal,2415 kJ,Frutta secca e semi
2,Pistacchi,100g,1 bicchiere (123 g),562 kcal,2360 kJ,Frutta secca e semi
3,Semi di girasole,100g,1 bicchiere (140 g),584 kcal,2453 kJ,Frutta secca e semi
4,Noci,100g,1 bicchiere (80 g),654 kcal,2747 kJ,Frutta secca e semi
5,Semi di zucca,100g,1 bicchiere (129 g),559 kcal,2348 kJ,Frutta secca e semi
6,Arachidi / Nocciole,100g,1 bicchiere (146 g),567 kcal,2381 kJ,Frutta secca e semi
7,Semi di Chia,100g,1 busta (340 g),486 kcal,2041 kJ,Frutta secca e semi
8,Noce di cocco,100g,1 noce di cocco (397 g),354 kcal,1487 kJ,Frutta secca e semi
9,Piselli,100g,1 bicchiere (145 g),81 kcal,340 kJ,Frutta secca e semi
10,Semi di lino,100g,1 bicchiere (168 g),534 kcal,2243 kJ,Frutta secca e semi
11,Anacardi,100g,1 busta (150 g),553 kcal,2323 kJ,Frutta secca e semi
12,Noci pecan,100g,1 bicchiere (99 g),691 kcal,2902 kJ,Frutta secca e semi
13,Noci brasiliane,100g,1 bicchiere (133 g),656 kcal,2755 kJ,Frutta secca e semi
14,Pinoli,100g,1 bicchiere (135 g),673 kcal,2827 kJ,Frutta secca e semi
15,Castagne,100g,1 bicchiere (145 g),213 kcal,895 kJ,Frutta secca e semi
16,Noci di macadamia,100g,1 bicchiere (134 g),718 kcal,3016 kJ,Frutta secca e semi
17,Semi di sesamo,100g,1 bicchiere (144 g),573 kcal,2407 kJ,Frutta secca e semi
18,Nocciole,100g,1 bicchiere (75 g),628 kcal,2638 kJ,Frutta secca e semi
19,Fagioli di soia,100g,1 bicchiere (256 g),147 kcal,617 kJ,Frutta secca e semi
20,Germogli di alfalfa,100g,1 bicchiere (33 g),23 kcal,97 kJ,Frutta secca e semi
21,Semi di papavero,100g,1 cucchiaio (8.8 g),525 kcal,2205 kJ,Frutta secca e semi
22,Ghiande,100g,1 bicchiere (75 g),387 kcal,1625 kJ,Frutta secca e semi
23,Semi di loto,100g,1 bicchiere (145 g),89 kcal,374 kJ,Frutta secca e semi
24,Faggina / Faggiola,100g,1 bicchiere (129 g),576 kcal,2419 kJ,Frutta secca e semi
25,Castagna,100g,1 bicchiere (145 g),194 kcal,815 kJ,Frutta secca e semi
26,Semi di cotone,100g,1 bicchiere (149 g),506 kcal,2125 kJ,Frutta secca e semi
27,Noce bianca,100g,1 bicchiere (120 g),612 kcal,2570 kJ,Frutta secca e semi
28,Noce nera,100g,1 bicchiere (120 g),657 kcal,2759 kJ,Frutta secca e semi
29,Noci di ginkgo,100g,1 bicchiere (145 g),182 kcal,764 kJ,Frutta secca e semi
30,Fagioli pinto,100g,1 bicchiere (193 g),347 kcal,1457 kJ,Frutta secca e semi
31,Frutto dell'albero del pane,100g,1 pezzo (30 g),191 kcal,802 kJ,Frutta secca e semi
