,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Patate lesse,100g,1 patata (136 g),87 kcal,365 kJ,Prodotti a base di patate
1,Manioca / Tapioca,100g,1 radice (408 g),160 kcal,672 kJ,Prodotti a base di patate
2,Crocchette di patate,100g,1 porzione (138 g),127 kcal,533 kJ,Prodotti a base di patate
3,Patate fritte,100g,1 porzione (117 g),312 kcal,1310 kJ,Prodotti a base di patate
4,Gnocchi,100g,1 bicchiere (188 g),133 kcal,559 kJ,Prodotti a base di patate
5,Purè di patate,100g,1 bicchiere (242 g),89 kcal,374 kJ,Prodotti a base di patate
6,Omelette,100g,1 omelette (61 g),154 kcal,647 kJ,Prodotti a base di patate
7,Patata,100g,1 patata (214 g),77 kcal,323 kJ,Prodotti a base di patate
8,Patate al gratin,100g,1 bicchiere (245 g),132 kcal,554 kJ,Prodotti a base di patate
9,Insalata di patate,100g,1 bicchiere (250 g),143 kcal,601 kJ,Prodotti a base di patate
10,Fecola,100g,1 cucchiaio (12 g),331 kcal,1390 kJ,Prodotti a base di patate
11,Patata dolce,100g,1 patata (114 g),92 kcal,386 kJ,Prodotti a base di patate
12,Patate bianche,100g,1 patata (138 g),94 kcal,395 kJ,Prodotti a base di patate
13,Patate gialle Yukon Gold,100g,1 patata (136 g),82 kcal,344 kJ,Prodotti a base di patate
14,Patata al forno,100g,1 patata (173 g),93 kcal,391 kJ,Prodotti a base di patate
15,Patate a bastoncini,100g,1/2 bicchiere (18 g),522 kcal,2192 kJ,Prodotti a base di patate
16,Patate a spicchi,100g,1 porzione (100 g),123 kcal,517 kJ,Prodotti a base di patate
17,Patate al rosmarino,100g,1 patata (173 g),93 kcal,391 kJ,Prodotti a base di patate
18,Rösti,100g,1 roesti (100 g),138 kcal,580 kJ,Prodotti a base di patate
19,Ravioli al vapore,100g,1 pezzo (40 g),124 kcal,521 kJ,Prodotti a base di patate
20,Ravioli,100g,1 pezzo (40 g),124 kcal,521 kJ,Prodotti a base di patate
21,Gnocchi di patate,100g,1 pezzo (40 g),124 kcal,521 kJ,Prodotti a base di patate
22,Gnocchi al midollo,100g,1 gnocco (10 g),424 kcal,1781 kJ,Prodotti a base di patate
23,Patatine fritte,100g,1 porzione (117 g),312 kcal,1310 kJ,Prodotti a base di patate
24,Crocchetta di patate,100g,1 pezzo (74 g),185 kcal,777 kJ,Prodotti a base di patate
25,Patate gialle,100g,1 patata (80 g),78 kcal,328 kJ,Prodotti a base di patate
26,Patate rosse,100g,1 patata (80 g),89 kcal,374 kJ,Prodotti a base di patate
27,Patate al selenio,100g,1 patata (80 g),85 kcal,357 kJ,Prodotti a base di patate
