,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Germogli di bambù,100g,1 bicchiere (151 g),27 kcal,113 kJ,Legumi
1,Fagioli neri,100g,1 cucchiaio (12.1 g),341 kcal,1432 kJ,Legumi
2,Ceci neri,100g,1 bicchiere (200 g),364 kcal,1529 kJ,Legumi
3,Lenticchie marroni,100g,1 bicchiere (192 g),353 kcal,1483 kJ,Legumi
4,Ceci,100g,1 cucchiaio (12.5 g),364 kcal,1529 kJ,Legumi
5,Dahl,100g,1 porzione (100 g),230 kcal,966 kJ,Legumi
6,Tofu secco,100g,1/5 di blocchetto (91 g),91 kcal,382 kJ,Legumi
7,Tofu compatto,100g,1/4 di blocchetto (81 g),70 kcal,294 kJ,Legumi
8,Flageolet,100g,1 porzione (100 g),85 kcal,357 kJ,Legumi
9,Fagiolini,100g,1 bicchiere (100 g),31 kcal,130 kJ,Legumi
10,Lenticchie verdi,100g,"1 bicchiere, secche (60 g)",257 kcal,1079 kJ,Legumi
11,Lenticchie,100g,1 bicchiere (192 g),353 kcal,1483 kJ,Legumi
12,Marroni,100g,1 porzione (100 g),210 kcal,882 kJ,Legumi
13,Miso,100g,1 bicchiere (275 g),199 kcal,836 kJ,Legumi
14,Okra / Gumbo,100g,1 bicchiere (100 g),33 kcal,139 kJ,Legumi
15,Arachidi / Noccioline,100g,1 confezione (300 g),567 kcal,2381 kJ,Legumi
16,Piselli,100g,1 bicchiere (63 g),42 kcal,176 kJ,Legumi
17,Noci pecan,100g,1 bicchiere (99 g),691 kcal,2902 kJ,Legumi
18,Fagioli rossi / Fagioli borlotti,100g,1 lattina (266 g),124 kcal,521 kJ,Legumi
19,Lenticchie rosse,100g,1 bicchiere (197 g),329 kcal,1382 kJ,Legumi
20,Tofu vellutato,100g,1 fetta (84 g),55 kcal,231 kJ,Legumi
21,Formaggio di soia,100g,1 fetta (17 g),235 kcal,987 kJ,Legumi
22,Maionese di soia,100g,1 cucchiaio (15 g),322 kcal,1352 kJ,Legumi
23,Fave di soia,100g,1 bicchiere (256 g),471 kcal,1978 kJ,Legumi
24,Yogurt di soia,100g,1 confezione (500 g),66 kcal,277 kJ,Legumi
25,Fagioli di soia,100g,1 bicchiere (256 g),147 kcal,617 kJ,Legumi
26,Piselli,100g,1 porzione (100 g),42 kcal,176 kJ,Legumi
27,Tempeh,100g,1 bicchiere (166 g),193 kcal,811 kJ,Legumi
28,Tofu,100g,1/2 bicchiere (124 g),76 kcal,319 kJ,Legumi
29,Fagioli bianchi,100g,1 bicchiere (215 g),336 kcal,1411 kJ,Legumi
30,Lenticchie gialle,100g,1 bicchiere (200 g),304 kcal,1277 kJ,Legumi
31,Germogli,100g,1 bicchiere (104 g),30 kcal,126 kJ,Legumi
32,Noce bianca,100g,1 bicchiere (120 g),612 kcal,2570 kJ,Legumi
33,Fagioli neri,100g,1 bicchiere (253 g),97 kcal,407 kJ,Legumi
34,Tofu fritto,100g,1/4 di blocchetto (81 g),271 kcal,1138 kJ,Legumi
35,Fagioli rossi kidney,100g,1 bicchiere (184 g),337 kcal,1415 kJ,Legumi
36,Fagioli mung / Soia verde,100g,1 bicchiere (125 g),12 kcal,50 kJ,Legumi
37,Fagioli pinto,100g,1 bicchiere (193 g),347 kcal,1457 kJ,Legumi
38,Fagioli borlotti,100g,1 lattina (266 g),335 kcal,1407 kJ,Legumi
39,Edamame,100g,1 porzione (150 g),147 kcal,617 kJ,Legumi
40,Fave,100g,1 porzione (150 g),340 kcal,1428 kJ,Legumi
41,Cicerchie,100g,1 porzione (150 g),296 kcal,1243 kJ,Legumi
42,Lupini,100g,1 porzione (150 g),330 kcal,1386 kJ,Legumi
