,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Torta di mele,100g,1 fetta (125 g),237 kcal,995 kJ,"Pasticceria, pane e prodotti da forno"
1,Bagel,100g,1 bagel (98 g),257 kcal,1079 kJ,"Pasticceria, pane e prodotti da forno"
2,Baguette,100g,1 fetta (60 g),274 kcal,1151 kJ,"Pasticceria, pane e prodotti da forno"
3,Pane alla banana,100g,1 fetta (28.4 g),326 kcal,1369 kJ,"Pasticceria, pane e prodotti da forno"
4,Biscotto,100g,1 biscotto (58 g),269 kcal,1130 kJ,"Pasticceria, pane e prodotti da forno"
5,Pane nero,100g,1 fetta (26 g),250 kcal,1050 kJ,"Pasticceria, pane e prodotti da forno"
6,Grissini,100g,1 grissino (5 g),400 kcal,1680 kJ,"Pasticceria, pane e prodotti da forno"
7,Pan brioche,100g,1 fetta (31 g),346 kcal,1453 kJ,"Pasticceria, pane e prodotti da forno"
8,Brownie,100g,1 riquadro (40 g),405 kcal,1701 kJ,"Pasticceria, pane e prodotti da forno"
9,Panino,100g,1 panino (38 g),316 kcal,1327 kJ,"Pasticceria, pane e prodotti da forno"
10,Cannoli,100g,1 porzione (85 g),254 kcal,1067 kJ,"Pasticceria, pane e prodotti da forno"
11,Challah,100g,1 fetta (23 g),283 kcal,1189 kJ,"Pasticceria, pane e prodotti da forno"
12,Chapati,100g,1 pezzo (50 g),240 kcal,1008 kJ,"Pasticceria, pane e prodotti da forno"
13,Ciabatta,100g,1 fetta (20 g),271 kcal,1138 kJ,"Pasticceria, pane e prodotti da forno"
14,Panini dolci alla cannella,100g,1 panino (65 g),436 kcal,1831 kJ,"Pasticceria, pane e prodotti da forno"
15,Crêpes,100g,1 crepe (50 g),224 kcal,941 kJ,"Pasticceria, pane e prodotti da forno"
16,Croissant / Brioche / Cornetto,100g,1 croissant (57 g),406 kcal,1705 kJ,"Pasticceria, pane e prodotti da forno"
17,Crumpet,100g,1 crumpet (55 g),178 kcal,748 kJ,"Pasticceria, pane e prodotti da forno"
18,Cupcake / Pasticcini,100g,1 cupcake (43 g),305 kcal,1281 kJ,"Pasticceria, pane e prodotti da forno"
19,Ciambella,100g,1 ciambella (45 g),421 kcal,1768 kJ,"Pasticceria, pane e prodotti da forno"
20,Focaccia azzima / Schiacciata,100g,1 fetta (50 g),311 kcal,1306 kJ,"Pasticceria, pane e prodotti da forno"
21,Focaccia,100g,1 pezzo (57 g),249 kcal,1046 kJ,"Pasticceria, pane e prodotti da forno"
22,Pane all'aglio,100g,1 fetta (43 g),350 kcal,1470 kJ,"Pasticceria, pane e prodotti da forno"
23,Pane rustico / Pagnotta,100g,1 fetta (30 g),271 kcal,1138 kJ,"Pasticceria, pane e prodotti da forno"
24,Pane azzimo / Matzot,100g,1 matzot (28 g),351 kcal,1474 kJ,"Pasticceria, pane e prodotti da forno"
25,Muffin,100g,1 muffin (71 g),296 kcal,1243 kJ,"Pasticceria, pane e prodotti da forno"
26,Naan,100g,1 naan (160 g),275 kcal,1155 kJ,"Pasticceria, pane e prodotti da forno"
27,Pancake,100g,1 pancake (38 g),233 kcal,979 kJ,"Pasticceria, pane e prodotti da forno"
28,Panettone,100g,1 fetta (27 g),318 kcal,1336 kJ,"Pasticceria, pane e prodotti da forno"
29,Torta,100g,1 pezzo (125 g),237 kcal,995 kJ,"Pasticceria, pane e prodotti da forno"
30,Pita / Pane tipo pita,100g,1 pita (50 g),275 kcal,1155 kJ,"Pasticceria, pane e prodotti da forno"
31,Pane di patate,100g,1 fetta (32 g),266 kcal,1117 kJ,"Pasticceria, pane e prodotti da forno"
32,Brezel,100g,1 brezel (115 g),338 kcal,1420 kJ,"Pasticceria, pane e prodotti da forno"
33,Pasta sfoglia,100g,1 pezzo (47 g),558 kcal,2344 kJ,"Pasticceria, pane e prodotti da forno"
34,Pumpernickel,100g,1 pumpernickel (36 g),250 kcal,1050 kJ,"Pasticceria, pane e prodotti da forno"
35,Pane all'uva / Pane all'uvetta,100g,1 fetta (32 g),274 kcal,1151 kJ,"Pasticceria, pane e prodotti da forno"
36,Roti,100g,1 roti (43 g),264 kcal,1109 kJ,"Pasticceria, pane e prodotti da forno"
37,Pane di segale,100g,1 fetta (28.4 g),259 kcal,1088 kJ,"Pasticceria, pane e prodotti da forno"
38,Sandwich,100g,1 sandwich (83 g),304 kcal,1277 kJ,"Pasticceria, pane e prodotti da forno"
39,Scone,100g,1 scone (40 g),362 kcal,1520 kJ,"Pasticceria, pane e prodotti da forno"
40,Biscotti di pasta frolla,100g,1 porzione (50 g),544 kcal,2285 kJ,"Pasticceria, pane e prodotti da forno"
41,Pane di soda / Soda bread,100g,1 fetta (28.4 g),290 kcal,1218 kJ,"Pasticceria, pane e prodotti da forno"
42,Soufflé,100g,1 pirottino (136 g),204 kcal,857 kJ,"Pasticceria, pane e prodotti da forno"
43,Pane di lievito naturale,100g,1 fetta (35 g),289 kcal,1214 kJ,"Pasticceria, pane e prodotti da forno"
44,Spanakopita,100g,1 pezzo (57 g),246 kcal,1033 kJ,"Pasticceria, pane e prodotti da forno"
45,Pane tostato,100g,1 fetta (33 g),261 kcal,1096 kJ,"Pasticceria, pane e prodotti da forno"
46,Pane bianco,100g,1 fetta (28 g),238 kcal,1000 kJ,"Pasticceria, pane e prodotti da forno"
47,Pane integrale,100g,1 fetta (46 g),247 kcal,1037 kJ,"Pasticceria, pane e prodotti da forno"
48,Fagottino alle mele,100g,1 pezzo (82 g),348 kcal,1462 kJ,"Pasticceria, pane e prodotti da forno"
49,Focaccia di granturco,100g,1 riquadro (28.4 g),179 kcal,752 kJ,"Pasticceria, pane e prodotti da forno"
50,Pane per hot dog,100g,1 panino (43 g),279 kcal,1172 kJ,"Pasticceria, pane e prodotti da forno"
51,Pane ai cinque cereali,100g,1 fetta (26 g),265 kcal,1113 kJ,"Pasticceria, pane e prodotti da forno"
52,Biscotti ai fiocchi di avena,100g,1 biscotto (25 g),450 kcal,1890 kJ,"Pasticceria, pane e prodotti da forno"
53,Panino brezel,100g,1 pezzo (60 g),338 kcal,1420 kJ,"Pasticceria, pane e prodotti da forno"
54,Rotolo di pan di spagna,100g,1 pezzo (32 g),313 kcal,1315 kJ,"Pasticceria, pane e prodotti da forno"
55,Tortilla,100g,1 tortilla (68 g),265 kcal,1113 kJ,"Pasticceria, pane e prodotti da forno"
56,Pide (pizza turca),100g,1 pide (60 g),268 kcal,1126 kJ,"Pasticceria, pane e prodotti da forno"
57,Piadina / Piada,100g,1 porzione (57 g),320 kcal,1344 kJ,"Pasticceria, pane e prodotti da forno"
58,Krapfen,100g,1 krapfen (65 g),398 kcal,1672 kJ,"Pasticceria, pane e prodotti da forno"
59,Pandoro,100g,1 pezzo (50 g),390 kcal,1638 kJ,"Pasticceria, pane e prodotti da forno"
60,Pandolce,100g,1 pezzo (50 g),332 kcal,1394 kJ,"Pasticceria, pane e prodotti da forno"
