,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Lingua di manzo,100g,1 lingua (85 g),284 kcal,1193 kJ,Frattaglie e interiora
1,Rigaglie di pollo,100g,1 bicchiere (145 g),277 kcal,1163 kJ,Frattaglie e interiora
2,Lingua di maiale,100g,1 lingua (231 g),271 kcal,1138 kJ,Frattaglie e interiora
3,Intestino di maiale stufato,100g,1 porzione (85 g),233 kcal,979 kJ,Frattaglie e interiora
4,Lingua di vitello,100g,1 pezzo (255 g),202 kcal,848 kJ,Frattaglie e interiora
5,Cervella di manzo,100g,1 pezzo (351 g),196 kcal,823 kJ,Frattaglie e interiora
6,Fegato di manzo,100g,1 fetta (68 g),191 kcal,802 kJ,Frattaglie e interiora
7,Fegato di tacchino,100g,1 fegato (53 g),189 kcal,794 kJ,Frattaglie e interiora
8,Cuore di vitello,100g,1 pezzo (198 g),186 kcal,781 kJ,Frattaglie e interiora
9,Cuori di pollo,100g,1 cuore (6.1 g),185 kcal,777 kJ,Frattaglie e interiora
10,Cuori di tacchino,100g,1 cuore (20 g),174 kcal,731 kJ,Frattaglie e interiora
11,Rigaglie di tacchino,100g,1 rigaglia (95 g),173 kcal,727 kJ,Frattaglie e interiora
12,Fegatini di pollo,100g,1 fegato (44 g),172 kcal,722 kJ,Frattaglie e interiora
13,Cuore di manzo,100g,1 cuore (85 g),165 kcal,693 kJ,Frattaglie e interiora
14,Fegato di maiale,100g,1 fegato (85 g),165 kcal,693 kJ,Frattaglie e interiora
15,Rognone di vitello,100g,1 pezzo (184 g),163 kcal,685 kJ,Frattaglie e interiora
16,Rognone di manzo,100g,1 pezzo (85 g),158 kcal,664 kJ,Frattaglie e interiora
17,Trippa di maiale,100g,1 pezzo (85 g),157 kcal,659 kJ,Frattaglie e interiora
18,Rognone di maiale,100g,1 pezzo (85 g),151 kcal,634 kJ,Frattaglie e interiora
19,Cuore di maiale,100g,1 cuore (129 g),148 kcal,622 kJ,Frattaglie e interiora
20,Durelli di pollo,100g,1 porzione (100 g),148 kcal,622 kJ,Frattaglie e interiora
21,Durelli di tacchino,100g,1 porzione (100 g),148 kcal,622 kJ,Frattaglie e interiora
22,Cervella di maiale,100g,1 pezzo (85 g),138 kcal,580 kJ,Frattaglie e interiora
23,Fegato d'anitra,100g,1 fegato (44 g),136 kcal,571 kJ,Frattaglie e interiora
24,Cervella di vitello,100g,1 pezzo (339 g),136 kcal,571 kJ,Frattaglie e interiora
25,Fegato d'oca,100g,1 fegato (94 g),133 kcal,559 kJ,Frattaglie e interiora
26,Polmone di maiale,100g,1 pezzo (300 g),99 kcal,416 kJ,Frattaglie e interiora
27,Polmone di manzo,100g,1 pezzo (303 g),120 kcal,504 kJ,Frattaglie e interiora
28,Fegato di vitello / Coratella di vitello,100g,1 fetta (80 g),192 kcal,806 kJ,Frattaglie e interiora
29,Milza di manzo,100g,1 pezzo (222 g),271 kcal,1138 kJ,Frattaglie e interiora
30,Milza di maiale,100g,1 pezzo (245 g),219 kcal,920 kJ,Frattaglie e interiora
31,Trippa di manzo,100g,1 porzione (84 g),94 kcal,395 kJ,Frattaglie e interiora
32,Fegato di agnello,100g,1 fetta (82 g),136 kcal,571 kJ,Frattaglie e interiora
