,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Angel food cake / Angel cake,100g,1 pezzo (28 g),258 kcal,1084 kJ,Torte e crostate
1,Torta di mele,100g,1 porzione (100 g),252 kcal,1058 kJ,Torte e crostate
2,Strudel di mele,100g,1 pezzo (71 g),274 kcal,1151 kJ,Torte e crostate
3,Baked Alaska / Omelette norvegese,100g,1 pezzo (103 g),247 kcal,1037 kJ,Torte e crostate
4,Torta di compleanno,100g,1 pezzo (85 g),465 kcal,1953 kJ,Torte e crostate
5,Torta foresta nera,100g,1 pezzo (107 g),264 kcal,1109 kJ,Torte e crostate
6,Muffin ai mirtilli,100g,1 muffin (57 g),377 kcal,1583 kJ,Torte e crostate
7,Torta di mirtilli,100g,1 pezzo (125 g),232 kcal,974 kJ,Torte e crostate
8,Torta di carote,100g,1 pezzo (133 g),408 kcal,1714 kJ,Torte e crostate
9,Cheesecake,100g,1 pezzo (80 g),321 kcal,1348 kJ,Torte e crostate
10,Torta al cioccolato,100g,1 pezzo (138 g),389 kcal,1634 kJ,Torte e crostate
11,Torta mousse al cioccolato,100g,1 pezzo (95 g),260 kcal,1092 kJ,Torte e crostate
12,Muffin al cioccolato,100g,1 muffin (100 g),420 kcal,1764 kJ,Torte e crostate
13,Torta al cocco,100g,1 pezzo (66 g),356 kcal,1495 kJ,Torte e crostate
14,Bignè alla panna,100g,1 bignè alla panna (130 g),334 kcal,1403 kJ,Torte e crostate
15,Cupcake / Pasticcino,100g,1 cupcake (43 g),305 kcal,1281 kJ,Torte e crostate
16,Ciambella,100g,1 ciambella (60 g),403 kcal,1693 kJ,Torte e crostate
17,Flan,100g,1/2 bicchiere (153 g),145 kcal,609 kJ,Torte e crostate
18,Torta al cioccolato senza farina,100g,1 pezzo (80 g),509 kcal,2138 kJ,Torte e crostate
19,Torta di frutta,100g,1 pezzo (43 g),324 kcal,1361 kJ,Torte e crostate
20,Pan di zenzero,100g,1 pezzo (74 g),356 kcal,1495 kJ,Torte e crostate
21,Torta gelato / Semifreddo,100g,1 pezzo (120 g),200 kcal,840 kJ,Torte e crostate
22,King cake,100g,1 pezzo (91 g),377 kcal,1583 kJ,Torte e crostate
23,Torta al limone,100g,1 pezzo (66 g),352 kcal,1478 kJ,Torte e crostate
24,Torta marmorizzata / Marble cake,100g,1 pezzo (109 g),339 kcal,1424 kJ,Torte e crostate
25,Meringa,100g,1 pezzo (127 g),285 kcal,1197 kJ,Torte e crostate
26,Pancake,100g,1 pancake (38 g),227 kcal,953 kJ,Torte e crostate
27,Panettone,100g,1 fetta (50 g),360 kcal,1512 kJ,Torte e crostate
28,Pavlova,100g,1 porzione (65 g),294 kcal,1235 kJ,Torte e crostate
29,Torta alla pesche,100g,1 pezzo (117 g),223 kcal,937 kJ,Torte e crostate
30,Plumcake,100g,1 pezzo (150 g),109 kcal,458 kJ,Torte e crostate
31,Torta con semi di papavero,100g,1 pezzo (90 g),394 kcal,1655 kJ,Torte e crostate
32,Profiterole,100g,1 porzione (113 g),334 kcal,1403 kJ,Torte e crostate
