,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Amaranto,100g,1 bicchiere (193 g),371 kcal,1558 kJ,Prodotti a base di cereali
1,Orzo,100g,1 bicchiere (157 g),354 kcal,1487 kJ,Prodotti a base di cereali
2,Riso integrale,100g,1 bicchiere (195 g),388 kcal,1630 kJ,Prodotti a base di cereali
3,Grano saraceno,100g,1 bicchiere (170 g),343 kcal,1441 kJ,Prodotti a base di cereali
4,Farina di mais,100g,1 bicchiere (122 g),362 kcal,1520 kJ,Prodotti a base di cereali
5,Amido di mais,100g,1 bicchiere (128 g),381 kcal,1600 kJ,Prodotti a base di cereali
6,Couscous,100g,1 bicchiere (173 g),376 kcal,1579 kJ,Prodotti a base di cereali
7,Cracker,100g,1 cracker (7 g),502 kcal,2108 kJ,Prodotti a base di cereali
8,Semola di grano duro,100g,1 cucchiaio (30 g),397 kcal,1667 kJ,Prodotti a base di cereali
9,Semi di lino,100g,1 bicchiere (168 g),534 kcal,2243 kJ,Prodotti a base di cereali
10,Grissini,100g,1 grissino (5 g),408 kcal,1714 kJ,Prodotti a base di cereali
11,Kamut,100g,1 bicchiere (186 g),337 kcal,1415 kJ,Prodotti a base di cereali
12,Miglio,100g,1 bicchiere (128 g),378 kcal,1588 kJ,Prodotti a base di cereali
13,Farina di miglio,100g,1 bicchiere (140 g),372 kcal,1562 kJ,Prodotti a base di cereali
14,Porridge di miglio,100g,1 bicchiere (174 g),46 kcal,193 kJ,Prodotti a base di cereali
15,Orzo perlato,100g,1 bicchiere (157 g),352 kcal,1478 kJ,Prodotti a base di cereali
16,Polenta,100g,1 bicchiere (150 g),366 kcal,1537 kJ,Prodotti a base di cereali
17,Nuvolette di granchio,100g,1 nuvoletta (3 g),527 kcal,2213 kJ,Prodotti a base di cereali
18,Quinoa,100g,1 bicchiere (170 g),368 kcal,1546 kJ,Prodotti a base di cereali
19,Fette biscottate,100g,1 fetta biscottata (10 g),410 kcal,1722 kJ,Prodotti a base di cereali
20,Crusca di segale,100g,1 bicchiere (150 g),281 kcal,1180 kJ,Prodotti a base di cereali
21,Sago,100g,1 bicchiere (173 g),354 kcal,1487 kJ,Prodotti a base di cereali
22,Farro,100g,1 bicchiere (174 g),338 kcal,1420 kJ,Prodotti a base di cereali
23,Crusca di frano,100g,1 bicchiere (160 g),177 kcal,743 kJ,Prodotti a base di cereali
24,Semola di farro,100g,1 bicchiere (167 g),360 kcal,1512 kJ,Prodotti a base di cereali
25,Semi di girasole,100g,1 bicchiere (140 g),584 kcal,2453 kJ,Prodotti a base di cereali
26,Tortilla,100g,1 tortilla (197 g),237 kcal,995 kJ,Prodotti a base di cereali
27,Chip di mais,100g,20 chip (32 g),499 kcal,2096 kJ,Prodotti a base di cereali
28,Crusca di frumento,100g,1 bicchiere (58 g),216 kcal,907 kJ,Prodotti a base di cereali
29,Germe di grano,100g,1 bicchiere (113 g),382 kcal,1604 kJ,Prodotti a base di cereali
30,Seitan,100g,1 cucchiaino (3 g),325 kcal,1365 kJ,Prodotti a base di cereali
31,Semola di frumento,100g,1 bicchiere (167 g),360 kcal,1512 kJ,Prodotti a base di cereali
32,Amido di frumento,100g,1 bicchiere (110 g),351 kcal,1474 kJ,Prodotti a base di cereali
33,Crusca di avena,100g,1 bicchiere (94 g),246 kcal,1033 kJ,Prodotti a base di cereali
34,Frollini,100g,1 pezzo (19 g),502 kcal,2108 kJ,Prodotti a base di cereali
35,Frumento integrale,100g,1 bicchiere (120 g),339 kcal,1424 kJ,Prodotti a base di cereali
36,Avena integrale,100g,1 bicchiere (80 g),375 kcal,1575 kJ,Prodotti a base di cereali
37,Waffle di mais,100g,1 waffle (40 g),274 kcal,1151 kJ,Prodotti a base di cereali
38,Salatini stick,100g,20 pezzi (12 g),380 kcal,1596 kJ,Prodotti a base di cereali
39,Bulgur,100g,1 porzione (75 g),325 kcal,1365 kJ,Prodotti a base di cereali
40,Farina di segale,100g,1 bicchiere (120 g),322 kcal,1352 kJ,Prodotti a base di cereali
41,Taralli,100g,1 bicchiere (45 g),415 kcal,1743 kJ,Prodotti a base di cereali
