,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Asiago,100g,1 confezione (200 g),392 kcal,1646 kJ,Formaggio
1,Babybel,100g,1 pezzo (21 g),333 kcal,1399 kJ,Formaggio
2,Formaggio erborinato,100g,1 confezione (150 g),353 kcal,1483 kJ,Formaggio
3,Brie,100g,1 fetta (30 g),334 kcal,1403 kJ,Formaggio
4,Camembert,100g,1 fetta (30 g),300 kcal,1260 kJ,Formaggio
5,Formaggio cheddar,100g,1 fetta (22 g),403 kcal,1693 kJ,Formaggio
6,Fonduta al formaggio,100g,1 confezione (400 g),228 kcal,958 kJ,Formaggio
7,Formaggio chester,100g,1 confezione (200 g),387 kcal,1625 kJ,Formaggio
8,Fiocchi di latte,100g,1 bicchiere (210 g),98 kcal,412 kJ,Formaggio
9,Formaggio olandese,100g,1 confezione (150 g),393 kcal,1651 kJ,Formaggio
10,Edam,100g,1 confezione (198 g),357 kcal,1499 kJ,Formaggio
11,Emmental,100g,1 fetta (25 g),357 kcal,1499 kJ,Formaggio
12,Feta,100g,1 confezione (200 g),264 kcal,1109 kJ,Formaggio
13,Fontina,100g,1 fetta (30 g),389 kcal,1634 kJ,Formaggio
14,Formaggio di capra,100g,1 confezione (250 g),364 kcal,1529 kJ,Formaggio
15,Gorgonzola,100g,1 confezione (200 g),350 kcal,1470 kJ,Formaggio
16,Gouda,100g,1 confezione (198 g),356 kcal,1495 kJ,Formaggio
17,Parmigiano grattugiato,100g,1 cucchiaino (5 g),431 kcal,1810 kJ,Formaggio
18,Gruviera,100g,1 fetta (25 g),413 kcal,1735 kJ,Formaggio
19,Halloumi,100g,1 confezione (250 g),321 kcal,1348 kJ,Formaggio
20,Havarti,100g,1 fetta (28 g),371 kcal,1558 kJ,Formaggio
21,Formaggio italiano,100g,1 porzione (30 g),397 kcal,1667 kJ,Formaggio
22,Jarlsberg,100g,1 confezione (200 g),352 kcal,1478 kJ,Formaggio
23,Leerdammer,100g,1 fetta (18 g),344 kcal,1445 kJ,Formaggio
24,Manchego,100g,1 porzione (28 g),320 kcal,1344 kJ,Formaggio
25,Mozzarella,100g,1 fetta (28 g),280 kcal,1176 kJ,Formaggio
26,Munster,100g,1 fetta (28 g),368 kcal,1546 kJ,Formaggio
27,Neufchâtel,100g,1 confezione (85 g),253 kcal,1063 kJ,Formaggio
28,Parmigiano,100g,1 cucchiaino (5 g),431 kcal,1810 kJ,Formaggio
29,Pecorino,100g,1 cucchiaio (5 g),387 kcal,1625 kJ,Formaggio
30,Provolone,100g,1 fetta (28 g),351 kcal,1474 kJ,Formaggio
31,Formaggio raclette,100g,1 fetta (25 g),357 kcal,1499 kJ,Formaggio
32,Ricotta,100g,1 bicchiere (246 g),174 kcal,731 kJ,Formaggio
33,Roquefort,100g,1 confezione (150 g),369 kcal,1550 kJ,Formaggio
34,Formaggio di pecora,100g,1 confezione (200 g),364 kcal,1529 kJ,Formaggio
35,Formaggio stilton,100g,1 confezione (200 g),393 kcal,1651 kJ,Formaggio
36,Formaggio svizzero,100g,1 fetta (25 g),380 kcal,1596 kJ,Formaggio
37,Formaggio spalmabile,100g,1 cucchiaio (15 g),290 kcal,1218 kJ,Formaggio
38,Formaggio morbido,100g,1 confezione (150 g),268 kcal,1126 kJ,Formaggio
39,Formaggio alla griglia,100g,1 pezzo (83 g),350 kcal,1470 kJ,Formaggio
40,Bitto,100g,1 pezzo (30 g),300 kcal,1260 kJ,Formaggio
41,Bra,100g,1 pezzo (30 g),401 kcal,1684 kJ,Formaggio
42,Caciocavallo,100g,1 fetta (60 g),340 kcal,1428 kJ,Formaggio
43,Castelmagno,100g,1 fetta (30 g),410 kcal,1722 kJ,Formaggio
44,Grana Padano,100g,1/4 pezzo (50 g),381 kcal,1600 kJ,Formaggio
45,Parmiggiano reggiano,100g,1 fetta (30 g),374 kcal,1571 kJ,Formaggio
46,Montasio,100g,1 fetta (30 g),384 kcal,1613 kJ,Formaggio
47,Mozzarella di Bufala,100g,1 pezzo (125 g),247 kcal,1037 kJ,Formaggio
48,Pecorino Romano,100g,1 confezione (200 g),394 kcal,1655 kJ,Formaggio
49,Pecorino Sardo,100g,1 fetta (30 g),414 kcal,1739 kJ,Formaggio
50,Pecorino Toscano,100g,1 fetta (30 g),378 kcal,1588 kJ,Formaggio
51,Piave,100g,1 fetta (30 g),464 kcal,1949 kJ,Formaggio
52,Stracchino / Certosa / Crescenza,100g,1 cucchiaio (15 g),248 kcal,1042 kJ,Formaggio
53,Quartirolo,100g,1 pezzo (30 g),297 kcal,1247 kJ,Formaggio
54,Raschera,100g,1 fetta (25 g),270 kcal,1134 kJ,Formaggio
55,Stelvio,100g,1 fetta (30 g),373 kcal,1567 kJ,Formaggio
56,Taleggio,100g,1 pezzo (30 g),294 kcal,1235 kJ,Formaggio
57,Toma Piemontese,100g,1 pezzo (30 g),371 kcal,1558 kJ,Formaggio
58,Casera Valtellina,100g,1 pezzo (30 g),356 kcal,1495 kJ,Formaggio
