,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Stufato di fagioli,100g,1 scodella (252 g),133 kcal,559 kJ,Minestre
1,Zuppa di manzo,100g,1 scodella (213 g),33 kcal,139 kJ,Minestre
2,Brodo,100g,1 scodella (244 g),16 kcal,67 kJ,Minestre
3,Zuppa di broccoli,100g,1 scodella (237 g),87 kcal,365 kJ,Minestre
4,Zuppa di cavolo,100g,1 scodella (245 g),28 kcal,118 kJ,Minestre
5,Minestra di carote,100g,1 porzione (381 g),25 kcal,105 kJ,Minestre
6,Brodo di pollo,100g,1 scodella (241 g),4 kcal,17 kJ,Minestre
7,Gulasch,100g,1 porzione (187 g),50 kcal,210 kJ,Minestre
8,Minestra di lenticchie,100g,1 scodella (248 g),56 kcal,235 kJ,Minestre
9,Crema di astice,100g,1 scodella (248 g),100 kcal,420 kJ,Minestre
10,Zuppa con polpette,100g,1 scodella (245 g),49 kcal,206 kJ,Minestre
11,Minestrone,100g,1 scodella (241 g),34 kcal,143 kJ,Minestre
12,Zuppa di funghi,100g,1 scodella (244 g),35 kcal,147 kJ,Minestre
13,Zuppa con tagliolini,100g,1 scodella (244 g),34 kcal,143 kJ,Minestre
14,Zuppa di cipolle,100g,1 scodella (243 g),23 kcal,97 kJ,Minestre
15,Zuppa di coda di bue,100g,1 scodella (244 g),28 kcal,118 kJ,Minestre
16,Minestra di piselli,100g,1 scodella (253 g),75 kcal,315 kJ,Minestre
17,Minestra di patate,100g,1 porzione (240 g),80 kcal,336 kJ,Minestre
18,Minestra di zucca,100g,1 scodella (245 g),29 kcal,122 kJ,Minestre
19,Ramen,100g,1 confezione (85 g),436 kcal,1831 kJ,Minestre
20,Zuppa tailandese,100g,1 scodella (245 g),60 kcal,252 kJ,Minestre
21,Minestra di riso e pomodoro,100g,1 scodella (247 g),47 kcal,197 kJ,Minestre
22,Minestra di pomodoro,100g,1 scodella (248 g),30 kcal,126 kJ,Minestre
23,Brodo vegetale,100g,1 scodella (235 g),5 kcal,21 kJ,Minestre
24,Zuppa di verdura,100g,1 scodella (241 g),28 kcal,118 kJ,Minestre
25,Minestra maritata,100g,1 scodella (245 g),53 kcal,223 kJ,Minestre
26,Minestra con pastina alfabeto,100g,1 scodella (248 g),25 kcal,105 kJ,Minestre
27,Brodo di pollo,100g,1 scodella (244 g),16 kcal,67 kJ,Minestre
28,Ramen instantaneo,100g,1 confezione (85 g),436 kcal,1831 kJ,Minestre
29,Brodo di manzo,100g,1 scodella (240 g),3 kcal,13 kJ,Minestre
30,Zuppa di broccoli e formaggio,100g,1 lattina (303 g),87 kcal,365 kJ,Minestre
31,Zuppa di manzo con tagliolini,100g,1 scodella (244 g),34 kcal,143 kJ,Minestre
32,Zuppa di pollo con tagliolini,100g,1 scodella (248 g),25 kcal,105 kJ,Minestre
33,Minestra di pollo e verdure,100g,1 scodella (248 g),31 kcal,130 kJ,Minestre
34,Minestra di pollo e riso,100g,1 scodella (243 g),24 kcal,101 kJ,Minestre
35,Crema di asparagi,100g,1 scodella (244 g),35 kcal,147 kJ,Minestre
36,Crema di broccoli,100g,1 porzione (310 g),45 kcal,189 kJ,Minestre
37,Crema di sedano,100g,1 scodella (248 g),37 kcal,155 kJ,Minestre
38,Minestra cremosa di pollo,100g,1 scodella (244 g),48 kcal,202 kJ,Minestre
39,Crema di funghi,100g,1 scodella (248 g),39 kcal,164 kJ,Minestre
40,Crema di cipolle,100g,1 scodella (244 g),44 kcal,185 kJ,Minestre
41,Minestra cremosa di patate,100g,1 scodella (244 g),30 kcal,126 kJ,Minestre
42,Minestra cremosa di pollo con tagliolini,100g,1 scodella (245 g),23 kcal,97 kJ,Minestre
43,Zuppa di carote e zenzero,100g,1 porzione (381 g),25 kcal,105 kJ,Minestre
44,Pasta e fagioli,100g,1 porzione (240 g),155 kcal,651 kJ,Minestre
