,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Acerola,100g,1 acerola (4.8 g),32 kcal,134 kJ,Frutta tropicale ed esotica
1,Avocado,100g,1 avocado (200 g),160 kcal,672 kJ,Frutta tropicale ed esotica
2,Banana,100g,1 banana (125 g),89 kcal,374 kJ,Frutta tropicale ed esotica
3,Melone cantalupo,100g,1 fetta (69 g),34 kcal,143 kJ,Frutta tropicale ed esotica
4,Melone honeydew,100g,1 fetta (125 g),28 kcal,118 kJ,Frutta tropicale ed esotica
5,Cirimoia / Anona,100g,1 cirimoia (235 g),75 kcal,315 kJ,Frutta tropicale ed esotica
6,Durian,100g,1 durian (602 g),147 kcal,617 kJ,Frutta tropicale ed esotica
7,Feijoa / Acca,100g,1 feijoa (42 g),55 kcal,231 kJ,Frutta tropicale ed esotica
8,Melone Galia,100g,1 melone (130 g),23 kcal,97 kJ,Frutta tropicale ed esotica
9,Pompelmo,100g,1/2 pompelmo (123 g),42 kcal,176 kJ,Frutta tropicale ed esotica
10,Jackfruit / Giaca,100g,1 bicchiere (151 g),95 kcal,399 kJ,Frutta tropicale ed esotica
11,Kiwi,100g,1 kiwi (183 g),61 kcal,256 kJ,Frutta tropicale ed esotica
12,Kumquat / Mandarino cinese,100g,1 kumquat (19 g),71 kcal,298 kJ,Frutta tropicale ed esotica
13,Mandarino,100g,1 mandarino (90 g),53 kcal,223 kJ,Frutta tropicale ed esotica
14,Mango,100g,1 mango (336 g),60 kcal,252 kJ,Frutta tropicale ed esotica
15,Mangostano,100g,1 porzione (80 g),73 kcal,307 kJ,Frutta tropicale ed esotica
16,Marasche / Ciliegie marasche,100g,1 ciliegia (5 g),165 kcal,693 kJ,Frutta tropicale ed esotica
17,Melone retato,100g,1 fetta (69 g),34 kcal,143 kJ,Frutta tropicale ed esotica
18,Noni,100g,1 noni (28.4 g),53 kcal,223 kJ,Frutta tropicale ed esotica
19,Ananas,100g,1 ananas (905 g),50 kcal,210 kJ,Frutta tropicale ed esotica
20,Pompelmo rosa,100g,1/2 pompelmo (123 g),42 kcal,176 kJ,Frutta tropicale ed esotica
21,Platano,100g,1 platano (179 g),122 kcal,512 kJ,Frutta tropicale ed esotica
22,Melagrana,100g,1 melagrana (282 g),83 kcal,349 kJ,Frutta tropicale ed esotica
23,Pomelo,100g,1 pomelo (609 g),38 kcal,160 kJ,Frutta tropicale ed esotica
24,Fico d'India,100g,1 fico d'india (19 g),41 kcal,172 kJ,Frutta tropicale ed esotica
25,Rambutan,100g,1 rambutan (9 g),82 kcal,344 kJ,Frutta tropicale ed esotica
26,Carambola,100g,1 carambola (91 g),31 kcal,130 kJ,Frutta tropicale ed esotica
27,Tamarindo,100g,1 tamarindo (2 g),239 kcal,1004 kJ,Frutta tropicale ed esotica
28,Anguria / Cocomero,100g,1 fetta (286 g),30 kcal,126 kJ,Frutta tropicale ed esotica
29,Pitaya,100g,1 pitaya (200 g),60 kcal,252 kJ,Frutta tropicale ed esotica
30,Guava,100g,1 guava (55 g),68 kcal,286 kJ,Frutta tropicale ed esotica
31,Maracuja / Frutto della passione,100g,1 maracuja (18 g),97 kcal,407 kJ,Frutta tropicale ed esotica
32,Nashi / Pera asiatica,100g,1 nashi (178 g),42 kcal,176 kJ,Frutta tropicale ed esotica
33,Frutto dell'albero del pane,100g,1/4 di frutto dell'albero del pane (96 g),103 kcal,433 kJ,Frutta tropicale ed esotica
34,Litchi,100g,1 litchi (10 g),66 kcal,277 kJ,Frutta tropicale ed esotica
35,Bacche di goji,100g,1 porzione (20 g),344 kcal,1445 kJ,Frutta tropicale ed esotica
