,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Acai,100g,1 bicchiere (148 g),70 kcal,294 kJ,Frutta
1,Mela,100g,1 mela (182 g),52 kcal,218 kJ,Frutta
2,Purè di mela,100g,1 bicchiere (246 g),68 kcal,286 kJ,Frutta
3,Albicocca,100g,1 albicocca (35 g),48 kcal,202 kJ,Frutta
4,Avocado,100g,1 avocado (200 g),160 kcal,672 kJ,Frutta
5,Banana,100g,1 banana (125 g),89 kcal,374 kJ,Frutta
6,More,100g,1 bicchiere (144 g),43 kcal,181 kJ,Frutta
7,Arance rosse,100g,1 porzione (140 g),50 kcal,210 kJ,Frutta
8,Mirtilli,100g,1 bicchiere (148 g),57 kcal,239 kJ,Frutta
9,Cantalupo,100g,1 pezzo (69 g),34 kcal,143 kJ,Frutta
10,Ciliegie,100g,1 ciliegia (8 g),50 kcal,210 kJ,Frutta
11,Clementine,100g,1 clementina (74 g),47 kcal,197 kJ,Frutta
12,Cranberry / Mirtilli rossi,100g,1 bicchiere (100 g),46 kcal,193 kJ,Frutta
13,Ribes,100g,1 bicchiere (112 g),56 kcal,235 kJ,Frutta
14,Datteri,100g,1 dattero (7.1 g),282 kcal,1184 kJ,Frutta
15,Fichi,100g,1 fico (50 g),74 kcal,311 kJ,Frutta
16,Macedonia,100g,1 bicchiere (249 g),50 kcal,210 kJ,Frutta
17,Uva,100g,1 bicchiere (151 g),69 kcal,290 kJ,Frutta
18,Susine,100g,1 pezzo (5 g),41 kcal,172 kJ,Frutta
19,Guava,100g,1 guava (55 g),68 kcal,286 kJ,Frutta
20,Jackfruit / Giaca,100g,1 bicchiere (151 g),95 kcal,399 kJ,Frutta
21,Kiwi,100g,1 kiwi (183 g),61 kcal,256 kJ,Frutta
22,Limone,100g,1 limone (58 g),29 kcal,122 kJ,Frutta
23,Lime,100g,1 lime (67 g),30 kcal,126 kJ,Frutta
24,Litchi,100g,1 litchi (10 g),66 kcal,277 kJ,Frutta
25,Mandarini,100g,1 mandarino (88 g),53 kcal,223 kJ,Frutta
26,Mango,100g,1 mango (336 g),60 kcal,252 kJ,Frutta
27,More di gelso,100g,1 bicchiere (140 g),43 kcal,181 kJ,Frutta
28,Pesca noce,100g,1 pesca noce (150 g),44 kcal,185 kJ,Frutta
29,Olive,100g,1 oliva (2.7 g),115 kcal,483 kJ,Frutta
30,Arancia,100g,1 arancia (131 g),47 kcal,197 kJ,Frutta
31,Papaya,100g,1 papaya (500 g),43 kcal,181 kJ,Frutta
32,Frutto della passione / Maracuja,100g,1 frutto della passione (18 g),97 kcal,407 kJ,Frutta
33,Pesca,100g,1 pesca (150 g),39 kcal,164 kJ,Frutta
34,Pera,100g,1 pera (178 g),57 kcal,239 kJ,Frutta
35,Cachi,100g,1 cachi (25 g),127 kcal,533 kJ,Frutta
36,Alchechengi,100g,1 bacca (5 g),49 kcal,206 kJ,Frutta
37,Ananas,100g,1 ananas (905 g),50 kcal,210 kJ,Frutta
38,Platano,100g,1 platano (179 g),122 kcal,512 kJ,Frutta
39,Prugna,100g,1 prugna (66 g),46 kcal,193 kJ,Frutta
40,Melagrana,100g,1 melagrana (282 g),83 kcal,349 kJ,Frutta
41,Mela cotogna,100g,1 mela cotogna (92 g),57 kcal,239 kJ,Frutta
42,Uvetta / Uva passa,100g,1 bicchiere (145 g),299 kcal,1256 kJ,Frutta
43,Rambutan,100g,1 rambutan (9 g),82 kcal,344 kJ,Frutta
44,Lamponi,100g,1 bicchiere (123 g),52 kcal,218 kJ,Frutta
45,Rabarbaro,100g,1 pezzo (51 g),21 kcal,88 kJ,Frutta
46,Carambola / Starfruit,100g,1 starfruit (91 g),31 kcal,130 kJ,Frutta
47,Fragole,100g,1 bicchiere (152 g),32 kcal,134 kJ,Frutta
48,Tamarindo,100g,1 tamarindo (2 g),239 kcal,1004 kJ,Frutta
49,Anguria / Cocomero,100g,1 pezzo (286 g),30 kcal,126 kJ,Frutta
50,Bacche di goji,100g,1 bicchiere (145 g),343 kcal,1441 kJ,Frutta
51,Feijoa / Acca,100g,1 feijoa (42 g),55 kcal,231 kJ,Frutta
