,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Pizza calabrese,100g,1 fetta (108 g),235 kcal,987 kJ,Pizza
1,Calzone,100g,1 calzone (364 g),231 kcal,970 kJ,Pizza
2,Pizza capricciosa,100g,1 fetta (74 g),260 kcal,1092 kJ,Pizza
3,Pizza ai formaggi,100g,1 fetta (63 g),267 kcal,1121 kJ,Pizza
4,Pizza col pollo,100g,1 fetta (132 g),234 kcal,983 kJ,Pizza
5,Pizza con formaggio di capra,100g,1 fetta (63 g),219 kcal,920 kJ,Pizza
6,Pizza hawaiana,100g,1 fetta (134 g),115 kcal,483 kJ,Pizza
7,Pizza margherita,100g,1 fetta (63 g),275 kcal,1155 kJ,Pizza
8,Pizza pomodoro e mozzarella,100g,1 fetta (62 g),249 kcal,1046 kJ,Pizza
9,Pizza napoletana,100g,1 fetta (123 g),202 kcal,848 kJ,Pizza
10,Pizza al salame piccante,100g,1 fetta (71 g),255 kcal,1071 kJ,Pizza
11,Pasta della pizza,100g,1 porzione (57 g),228 kcal,958 kJ,Pizza
12,Pizza quattro formaggi,100g,1 fetta (133 g),248 kcal,1042 kJ,Pizza
13,Pizza coi peperoni rossi,100g,1 fetta (86 g),192 kcal,806 kJ,Pizza
14,Pizza con il salame,100g,1 fetta (71 g),255 kcal,1071 kJ,Pizza
15,Pizza con la salsiccia,100g,1 fetta (72 g),246 kcal,1033 kJ,Pizza
16,Pizza ai frutti di mare,100g,1 fetta (76 g),245 kcal,1029 kJ,Pizza
17,Pizza con gamberi,100g,1 fetta (91 g),209 kcal,878 kJ,Pizza
18,Pizza siciliana,100g,1 fetta (133 g),241 kcal,1012 kJ,Pizza
19,Pizza feta e spinaci,100g,1 fetta (62 g),242 kcal,1016 kJ,Pizza
20,Pizza con gli spinaci,100g,1 fetta (62 g),234 kcal,983 kJ,Pizza
21,Flammkuchen,100g,1 riquadro (56 g),253 kcal,1063 kJ,Pizza
22,Pizza col tonno,100g,1 fetta (125 g),254 kcal,1067 kJ,Pizza
23,Pizza con le verdure,100g,1 fetta (156 g),256 kcal,1075 kJ,Pizza
24,Pizza vegetariana,100g,1 fetta (156 g),256 kcal,1075 kJ,Pizza
25,Pizza bianca,100g,1 fetta (232 g),246 kcal,1033 kJ,Pizza
26,Pizza coi funghi,100g,1 fetta (288 g),212 kcal,890 kJ,Pizza
27,Pizza con crosta spessa,100g,1 fetta (149 g),255 kcal,1071 kJ,Pizza
28,Pizza sottile,100g,1 fetta (60 g),261 kcal,1096 kJ,Pizza
29,Pizza quattro stagioni,100g,1 fetta (72 g),285 kcal,1197 kJ,Pizza
30,Pizza alla marinara,100g,1 fetta (65 g),240 kcal,1008 kJ,Pizza
31,Pizza prosciutto e funghi,100g,1 fetta (62 g),189 kcal,794 kJ,Pizza
32,"Pizza bresaola, rucola e grana",100g,1 fetta (75 g),280 kcal,1176 kJ,Pizza
33,Pizza speck e brie,100g,1 fetta (62 g),212 kcal,890 kJ,Pizza
34,Pizza con il gorgonzola,100g,1 fetta (60 g),185 kcal,777 kJ,Pizza
35,Pizza ai porcini,100g,1 fetta (62 g),223 kcal,937 kJ,Pizza
36,Pizza Mare e Monti,100g,1 fetta (65 g),206 kcal,865 kJ,Pizza
37,Pizza 4 Formaggi,100g,1 pizza (350 g),239 kcal,1004 kJ,Pizza
