,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Olio di mandorle,100ml,1 cucchiaio (14 ml),882 kcal,3704 kJ,Oli e grassi
1,Olio di avocado,100ml,1 cucchiaio (14 ml),857 kcal,3599 kJ,Oli e grassi
2,Burro,100ml,1 cucchiaio (15 ml),720 kcal,3024 kJ,Oli e grassi
3,Olio di colza,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli e grassi
4,Olio di cocco,100ml,1 cucchiaio (14 ml),857 kcal,3599 kJ,Oli e grassi
5,Olio di fegato di merluzzo,100ml,1 cucchiaio (14 ml),1000 kcal,4200 kJ,Oli e grassi
6,Olio di mais,100ml,1 cucchiaio (15 ml),800 kcal,3360 kJ,Oli e grassi
7,Olio di semi di cotone,100ml,1 cucchiaio (14 ml),882 kcal,3704 kJ,Oli e grassi
8,Olio di semi di lino,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli e grassi
9,Burro chiarificato,100ml,1 cucchiaio (14 ml),120 kcal,504 kJ,Oli e grassi
10,Olio di semi di vinacciolo,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli e grassi
11,Olio di pesce,100ml,1 cucchiaio (14 ml),902 kcal,3788 kJ,Oli e grassi
12,Strutto,100ml,1 cucchiaio (13 ml),902 kcal,3788 kJ,Oli e grassi
13,Olio di macadamia,100ml,1 cucchiaio (14 ml),819 kcal,3440 kJ,Oli e grassi
14,Margarina,100ml,1 cucchiaio (14 ml),717 kcal,3011 kJ,Oli e grassi
15,Olio di senape,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli e grassi
16,Olio di oliva,100ml,1 cucchiaio (15 ml),884 kcal,3713 kJ,Oli e grassi
17,Olio di palma,100ml,1 cucchiaio (14 ml),882 kcal,3704 kJ,Oli e grassi
18,Olio di arachidi,100ml,1 cucchiaio (14 ml),857 kcal,3599 kJ,Oli e grassi
19,Olio di cartamo,100ml,1 cucchiaio (14 ml),857 kcal,3599 kJ,Oli e grassi
20,Olio di sarda,100ml,1 cucchiaio (14 ml),902 kcal,3788 kJ,Oli e grassi
21,Olio di sesamo,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli e grassi
22,Olio di soia,100ml,1 cucchiaio (14 ml),889 kcal,3734 kJ,Oli e grassi
23,Olio di semi di girasole,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli e grassi
24,Olio di noci,100ml,1 cucchiaio (14 ml),889 kcal,3734 kJ,Oli e grassi
25,Olio extra vergine di oliva,100ml,1 cucchiaio (14 ml),884 kcal,3713 kJ,Oli e grassi
