,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
0,Ale,100ml,1 bottiglia (500 ml),35 kcal,147 kJ,Birra
1,Beck's,100ml,1 bottiglietta (330 ml),39 kcal,164 kJ,Birra
2,Birra,100ml,1 bottiglietta (330 ml),43 kcal,181 kJ,Birra
3,Carlsberg,100ml,1 bottiglietta (330 ml),32 kcal,134 kJ,Birra
4,Corona,100ml,1 bottiglietta (330 ml),42 kcal,176 kJ,Birra
5,Birra scura,100ml,1 bottiglia (500 ml),46 kcal,193 kJ,Birra
6,Birra allo zenzero,100ml,1 bottiglietta (330 ml),42 kcal,176 kJ,Birra
7,Guinness,100ml,1 pinta (568 ml),35 kcal,147 kJ,Birra
8,Heineken,100ml,1 bottiglietta (330 ml),35 kcal,147 kJ,Birra
9,India Pale Ale (IPA),100ml,1 bottiglia (500 ml),51 kcal,214 kJ,Birra
10,Kölsch / Koelsh,100ml,1 bottiglia (500 ml),43 kcal,181 kJ,Birra
11,Lager,100ml,1 bottiglietta (330 ml),43 kcal,181 kJ,Birra
12,Birra leggera,100ml,1 bottiglietta (330 ml),29 kcal,122 kJ,Birra
13,Lowenbrau,100ml,1 bottiglietta (330 ml),45 kcal,189 kJ,Birra
14,Birra di malto,100ml,1 bottiglietta (330 ml),37 kcal,155 kJ,Birra
15,Birra analcolica,100ml,1 bottiglietta (330 ml),37 kcal,155 kJ,Birra
16,Pale Ale,100ml,1 bottiglietta (330 ml),42 kcal,176 kJ,Birra
17,Pils / Pilsner,100ml,1 bottiglietta (330 ml),43 kcal,181 kJ,Birra
18,Porter,100ml,1 bottiglietta (330 ml),54 kcal,227 kJ,Birra
19,Stout,100ml,1 bottiglietta (330 ml),51 kcal,214 kJ,Birra
20,Tilt,100ml,1 lattina (500 ml),64 kcal,269 kJ,Birra
21,Starkbier / Birra forte,100ml,1 bottiglia (500 ml),55 kcal,231 kJ,Birra
22,Birra di frumento / Weizen,100ml,1 bottiglia (500 ml),45 kcal,189 kJ,Birra
23,Altbier,100ml,1 bottiglia (500 ml),43 kcal,181 kJ,Birra
24,Bock,100ml,1 bottiglia (500 ml),50 kcal,210 kJ,Birra
25,Clausthaler (analcolica),100ml,1 bottiglietta (330 ml),26 kcal,109 kJ,Birra
26,Peroni,100ml,1 bottiglietta (330 ml),42 kcal,176 kJ,Birra
27,Moretti,100ml,1 bottiglietta (330 ml),52 kcal,218 kJ,Birra
28,Kronenbourg,100ml,1 bottiglietta (330 ml),48 kcal,202 kJ,Birra
29,Nastro Azzurro,100ml,1 bottiglietta (330 ml),45 kcal,189 kJ,Birra
30,Pedavena,100ml,1 bottiglietta (330 ml),46 kcal,193 kJ,Birra
31,Forst,100ml,1 bottiglietta (330 ml),40 kcal,168 kJ,Birra
32,Ichnusa,100ml,1 bottiglietta (330 ml),45 kcal,189 kJ,Birra
33,Franziskaner,100ml,1 bottiglia (500 ml),46 kcal,193 kJ,Birra
34,Dahlberg,100ml,1 lattina (500 ml),45 kcal,189 kJ,Birra
35,Radler,100ml,1 bottiglietta (330 ml),35 kcal,147 kJ,Birra
